Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL,stat_type,game_url,week,year,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Kyler Murray,ARI,21,31,162,1,0,4,16,24,91.1,5,57,0,29,0,0,0,0,0,1,1,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Conner,ARI,0,0,0,0,0,0,0,0,,16,50,1,20,4,3,33,0,22,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Benson,ARI,0,0,0,0,0,0,0,0,,3,13,0,6,1,1,5,0,5,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Dortch,ARI,0,0,0,0,0,0,0,0,,1,4,0,4,8,6,47,0,14,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey McBride,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,30,0,8,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emari Demercado,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,24,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Higgins,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,0,7,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,1,5,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison Jr.,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,4,0,4,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Allen,BUF,18,23,232,2,0,2,10,28,137.7,9,39,2,9,0,0,0,0,0,1,1,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Cook,BUF,0,0,0,0,0,0,0,0,,19,71,0,15,3,3,32,0,25,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray Davis,BUF,0,0,0,0,0,0,0,0,,3,13,0,13,1,1,14,0,14,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Johnson,BUF,0,0,0,0,0,0,0,0,,2,7,0,6,1,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keon Coleman,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,51,0,28,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalil Shakir,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,42,1,19,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mack Hollins,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,25,1,14,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawson Knox,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,23,0,23,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquez Valdes-Scantling,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,19,0,19,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis Samuel,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,8,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalton Kincaid,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080buf.htm,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
