Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL,stat_type,game_url,week,year,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Lamar Jackson,BAL,17,30,213,3,1,2,2,55,98.3,6,17,0,8,0,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202209110nyj.htm,1,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenyan Drake,BAL,0,0,0,0,0,0,0,0,,11,31,0,8,1,1,15,0,15,0,0,offense,https://www.pro-football-reference.com/boxscores/202209110nyj.htm,1,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Davis,BAL,0,0,0,0,0,0,0,0,,2,11,0,10,0,0,0,0,0,1,0,offense,https://www.pro-football-reference.com/boxscores/202209110nyj.htm,1,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justice Hill,BAL,0,0,0,0,0,0,0,0,,2,4,0,3,2,2,7,0,5,0,0,offense,https://www.pro-football-reference.com/boxscores/202209110nyj.htm,1,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashod Bateman,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,59,1,55,0,0,offense,https://www.pro-football-reference.com/boxscores/202209110nyj.htm,1,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Duvernay,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,54,2,25,0,0,offense,https://www.pro-football-reference.com/boxscores/202209110nyj.htm,1,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,52,0,17,0,0,offense,https://www.pro-football-reference.com/boxscores/202209110nyj.htm,1,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demarcus Robinson,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,19,0,11,0,0,offense,https://www.pro-football-reference.com/boxscores/202209110nyj.htm,1,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Ricard,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0,offense,https://www.pro-football-reference.com/boxscores/202209110nyj.htm,1,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tylan Wallace,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202209110nyj.htm,1,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
