team,year,salary_cap_millions,dead_money_millions,dead_cap_pct,win_pct
JAX,2011,90.62,3.69,4.07,0.312
TB,2011,87.73,6.18,7.05,0.250
KC,2011,104.48,0.62,0.60,0.438
DEN,2011,109.43,13.80,12.61,0.500
SEA,2011,109.31,20.62,18.87,0.438
DAL,2011,107.08,16.66,15.56,0.500
BUF,2011,109.50,13.06,11.93,0.375
CIN,2011,108.79,4.79,4.40,0.562
CLE,2011,105.42,5.53,5.25,0.250
SF,2011,115.37,8.00,6.93,0.812
CHI,2011,108.19,7.36,6.80,0.500
NO,2011,106.23,7.74,7.28,0.812
TEN,2011,113.61,5.74,5.05,0.562
STL,2011,109.92,2.08,1.89,0.125
OAK,2011,110.66,0.83,0.75,0.500
NE,2011,115.25,8.41,7.29,0.812
WAS,2011,122.50,13.61,11.11,0.312
GB,2011,116.06,3.22,2.77,0.938
BAL,2011,120.45,3.97,3.29,0.750
PHI,2011,125.77,6.50,5.16,0.500
ARI,2011,118.51,4.78,4.04,0.500
NYJ,2011,124.98,10.65,8.52,0.500
SD,2011,117.12,2.14,1.83,0.500
IND,2011,120.76,2.94,2.43,0.125
CAR,2011,121.91,3.34,2.74,0.375
MIN,2011,123.85,2.82,2.28,0.188
HOU,2011,122.14,6.00,4.91,0.625
DET,2011,123.78,1.30,1.05,0.625
NYG,2011,125.05,3.01,2.41,0.562
MIA,2011,133.07,18.89,14.20,0.375
ATL,2011,126.21,4.12,3.26,0.625
PIT,2011,128.56,3.35,2.60,0.750
Totals,2011,3682.33,215.74,5.86,0.500
Averages,2011,115.07,6.74,5.86,0.500
