team,year,active_cap_millions,dead_money_millions,total_cap_millions,cap_space_millions,dead_cap_pct
CLE,2022,132.199512,35.98912,186.513983,31.186017,19.3
CIN,2022,160.608517,15.804219,195.711833,16.488167,8.08
CAR,2022,128.149331,52.457843,202.249051,11.106983,25.94
NYJ,2022,153.295451,13.760179,202.470545,8.529455,6.8
DEN,2022,108.893408,34.641934,211.456385,8.143615,16.38
LV,2022,122.209751,49.55043,199.666719,7.333281,24.82
IND,2022,147.156772,16.051894,205.811217,7.088783,7.8
ATL,2022,94.499866,83.599124,201.717487,6.942849,41.44
SF,2022,162.291139,22.250183,206.082457,6.417543,10.8
WAS,2022,160.094196,22.383281,208.068247,5.931753,10.76
CHI,2022,78.766986,93.289973,204.696905,5.203095,45.57
DAL,2022,161.682742,32.734451,215.338768,4.961232,15.2
PHI,2022,145.718346,64.487877,219.445581,4.954419,29.39
PIT,2022,158.603136,36.520393,210.658592,4.541408,17.34
MIA,2022,149.787507,18.486649,208.559442,4.040558,8.86
LAC,2022,175.316296,11.074256,212.129671,3.670329,5.22
GB,2022,162.53341,30.661982,211.847657,3.552343,14.47
KC,2022,181.434543,16.397118,205.249141,3.350859,7.99
DET,2022,157.043784,34.960598,214.423875,3.276125,16.3
NYG,2022,133.245725,53.752511,203.667109,2.932891,26.39
TB,2022,158.812989,25.565164,202.960773,2.839227,12.6
JAX,2022,159.988522,34.849526,231.23318,2.719175,15.07
ARI,2022,98.153785,25.839514,204.825664,2.674336,12.62
NE,2022,161.125235,18.589785,208.004554,2.195446,8.94
BUF,2022,163.26423,25.249314,206.69146,1.90854,12.22
SEA,2022,120.909675,57.370519,215.796566,1.403434,26.59
HOU,2022,113.791851,77.91921,212.666643,1.333357,36.64
TEN,2022,78.943246,24.813429,209.793874,1.106126,11.83
MIN,2022,162.760165,28.089925,208.790359,1.009641,13.45
LAR,2022,113.511363,26.653334,200.270156,0.829844,13.31
BAL,2022,160.177579,26.720389,204.61752,0.38248,13.06
NO,2022,131.357406,43.937668,206.828041,-0.828041,21.24
