team,year,salary_cap_millions,dead_money_millions,dead_cap_pct,win_pct
NE,2025,271.15,52.10,19.21,0.824
LV,2025,289.45,77.15,26.65,0.176
WAS,2025,275.84,28.83,10.45,0.294
DAL,2025,284.89,54.45,19.11,0.441
CLE,2025,304.36,85.07,27.95,0.294
DET,2025,285.84,37.52,13.13,0.529
SF,2025,321.34,103.63,32.25,0.706
CAR,2025,264.77,34.72,13.11,0.471
TEN,2025,282.81,62.95,22.26,0.176
PIT,2025,268.77,35.26,13.12,0.588
MIN,2025,269.12,27.52,10.23,0.529
SEA,2025,271.31,88.18,32.50,0.824
NYJ,2025,266.83,108.11,40.52,0.176
ARI,2025,280.89,29.72,10.58,0.176
CIN,2025,276.89,20.75,7.49,0.353
PHI,2025,281.03,85.77,30.52,0.647
BAL,2025,268.49,31.88,11.87,0.471
NO,2025,273.84,109.05,39.82,0.353
TB,2025,276.02,50.89,18.44,0.471
GB,2025,289.84,60.10,20.73,0.559
JAX,2025,290.57,85.31,29.36,0.765
LAR,2025,274.18,57.76,21.07,0.706
HOU,2025,282.53,66.48,23.53,0.706
CHI,2025,280.33,10.03,3.58,0.647
MIA,2025,282.41,76.51,27.09,0.412
NYG,2025,287.81,35.41,12.31,0.235
ATL,2025,283.50,30.10,10.62,0.471
KC,2025,285.08,23.72,8.32,0.353
LAC,2025,282.23,41.24,14.61,0.647
BUF,2025,276.52,39.63,14.33,0.706
DEN,2025,279.24,45.51,16.30,0.824
IND,2025,289.38,17.42,6.02,0.471
Totals,2025,8997.28,1712.76,19.04,0.500
Averages,2025,281.17,53.52,19.04,0.500
