player_name,team,position,year,total_contract_value_millions,guaranteed_money_millions
Hurts Jalen Hurts,PHI,QB,2024,255.0,110.0
Brown A.J. Brown,PHI,WR,2024,96.0,51.0
Dickerson Landon Dickerson,PHI,G,2024,84.0,29.64
Smith DeVonta Smith,PHI,WR,2024,75.0,33.997554
Jurgens Cam Jurgens,PHI,C,2024,68.0,24.606
Mailata Jordan Mailata,PHI,LT,2024,66.0,22.84
Baun Zack Baun,PHI,LB,2024,51.0,34.0
Barkley Saquon Barkley,PHI,RB,2024,41.2,36.0
Carter II Michael Carter II,PHI,CB,2024,30.75,13.616
Johnson Lane Johnson,PHI,RT,2024,25.0,25.0
Elliott Jake Elliott,PHI,K,2024,24.0,9.7
Carter Jalen Carter,PHI,DL,2024,21.806014,21.806014
Davis Jordan Davis,PHI,DL,2024,17.009278,17.009278
Campbell Jihaad Campbell,PHI,LB,2024,14.903574,14.903574
Mitchell Quinyon Mitchell,PHI,CB,2024,14.818096,14.818096
Phillips Jaelan Phillips,PHI,LB,2024,14.018202,14.018202
Smith Nolan Smith,PHI,LB,2024,11.992409,11.992409
Goedert Dallas Goedert,PHI,TE,2024,10.0,10.0
DeJean Cooper DeJean,PHI,CB,2024,9.283622,7.469987
Mukuba Andrew Mukuba,PHI,S,2024,7.160542,4.196147
Steen Tyler Steen,PHI,G,2024,5.750443,1.18214
Brown Sydney Brown,PHI,S,2024,5.744441,1.177776
Young Byron Young,PHI,DL,2024,5.668712,2.130369
Hunt Jalyx Hunt,PHI,LB,2024,5.633034,0.916752
Bigsby Tank Bigsby,PHI,RB,2024,5.392915,0.92212
Robinson Ty Robinson,PHI,DL,2024,5.235668,1.035668
Dean Nakobe Dean,PHI,LB,2024,5.204639,0.965192
Shipley Will Shipley,PHI,RB,2024,4.736964,0.716964
Bennett Jakorian Bennett,PHI,CB,2024,4.663596,0.823596
Ringo Kelee Ringo,PHI,CB,2024,4.660924,0.820924
McWilliams Mac McWilliams,PHI,CB,2024,4.64412,0.44412
Mondon Jr. Smael Mondon Jr.,PHI,LB,2024,4.59546,0.39546
Kendall Drew Kendall,PHI,C,2024,4.555076,0.355076
Hinton Myles Hinton,PHI,T,2024,4.433264,0.233264
Williams Cameron Williams,PHI,T,2024,4.401572,0.676572
Trotter Jr. Jeremiah Trotter Jr.,PHI,LB,2024,4.348468,0.328468
Wilson Johnny Wilson,PHI,WR,2024,4.217008,0.197008
Mann Braden Mann,PHI,P,2024,4.2,2.775
McKee Tanner McKee,PHI,QB,2024,4.02652,0.18652
Howell Sam Howell,PHI,QB,2024,4.0216,0.3616
Ojomo Moro Ojomo,PHI,ED,2024,3.917784,0.077784
Calcaterra Grant Calcaterra,PHI,TE,2024,3.834144,0.174144
Blankenship Reed Blankenship,PHI,S,2024,3.575,3.935
Ojulari Azeez Ojulari,PHI,ED,2024,3.0,3.0
Lampkin Willie Lampkin,PHI,G,2024,2.995,0.03
Cooper Darius Cooper,PHI,WR,2024,2.98,0.09
Dotson Jahan Dotson,PHI,WR,2024,2.757048,0.0
Ojukwu John Ojukwu,PHI,LT,2024,2.445,0.025
Graham Brandon Graham,PHI,DL,2024,2.444444,2.444444
Jenkins E.J. Jenkins,PHI,TE,2024,2.165333,0.040333
Bell Jaheim Bell,PHI,TE,2024,2.125,0.0
Ramirez Jose Ramirez,PHI,ED,2024,2.125,0.0
Sam Andre’ Sam,PHI,S,2024,2.125,0.0
Steele Carson Steele,PHI,RB,2024,2.125,0.0
Johnson Brandon Johnson,PHI,CB,2024,2.125,0.0
Gray Danny Gray,PHI,WR,2024,2.125,0.0
Hall Gabe Hall,PHI,DL,2024,1.935,0.0
Majors Jake Majors,PHI,C,2024,1.935,0.0
Pierce Hollin Pierce,PHI,T,2024,1.935,0.0
Uche Joshua Uche,PHI,ED,2024,1.92,1.25
Latu Cameron Latu,PHI,TE,2024,1.845,0.0
Jackson Adoree' Jackson,PHI,CB,2024,1.755,1.0
Granson Kylen Granson,PHI,TE,2024,1.75,1.42
Uzomah C.J. Uzomah,PHI,TE,2024,1.3775,0.7175
Pryor Matt Pryor,PHI,G,2024,1.355,0.7
Dillon A.J. Dillon,PHI,RB,2024,1.3375,0.1675
Johnson Fred Johnson,PHI,LT,2024,1.3375,1.1425
Clark Le'Raven Clark,PHI,RT,2024,1.26,0.175
Okoronkwo Ogbonnia Okoronkwo,PHI,DL,2024,1.255,0.315
Watkins Quez Watkins,PHI,WR,2024,1.215,0.0
