rank,player_name,team,position,total_contract_value,total_contract_value_millions,year
1,Patrick Mahomes,KC,QB,"$37,133,825",37.133825,2023
2,Ryan Tannehill,TEN,QB,"$36,600,000",36.6,2023
3,Jared Goff,DET,QB,"$30,975,000",30.975,2023
4,T.J. Watt,PIT,ED/OLB,"$29,368,694",29.368694,2023
5,Dak Prescott,DAL,QB,"$26,832,647",26.832647,2023
6,Chris Jones,KC,DL/DT,"$26,808,355",26.808355,2023
7,Laremy Tunsil,HOU,LT,"$26,566,704",26.566704,2023
8,Aaron Donald,LAR,DL/DT,"$26,000,000",26.0,2023
9,Amari Cooper,CLE,WR,"$23,776,000",23.776,2023
10,Mike Evans,TB,WR,"$23,698,500",23.6985,2023
11,Ronnie Stanley,BAL,LT,"$23,668,250",23.66825,2023
12,Cameron Heyward,PIT,DL/DE,"$22,256,250",22.25625,2023
13,Lamar Jackson,BAL,QB,"$22,150,000",22.15,2023
14,Russell Wilson,DEN,QB,"$22,000,000",22.0,2023
15,C.J. Mosley,NYJ,LB/ILB,"$21,476,000",21.476,2023
16,Jonathan Allen,WAS,DL/DT,"$21,441,168",21.441168,2023
17,Jake Matthews,ATL,LT,"$21,233,823",21.233823,2023
18,David Bakhtiari,GB,LT,"$20,994,925",20.994925,2023
19,Danielle Hunter,MIN,ED/OLB,"$20,953,333",20.953333,2023
20,Grady Jarrett,ATL,DL/DT,"$20,625,000",20.625,2023
21,Kirk Cousins,MIN,QB,"$20,250,000",20.25,2023
22,D.J. Moore,CHI,WR,"$20,165,000",20.165,2023
23,Matthew Stafford,LAR,QB,"$20,000,000",20.0,2023
24,Joe Burrow,CIN,QB,"$19,515,043",19.515043,2023
25,Taylor Decker,DET,LT,"$19,350,000",19.35,2023
26,Adoree' Jackson,NYG,CB,"$19,076,563",19.076563,2023
27,Deshaun Watson,CLE,QB,"$19,064,080",19.06408,2023
28,Braden Smith,IND,RT,"$19,000,000",19.0,2023
29,Josh Allen,BUF,QB,"$18,636,281",18.636281,2023
30,Courtland Sutton,DEN,WR,"$18,295,576",18.295576,2023
31,Justin Simmons,DEN,FS,"$18,150,000",18.15,2023
32,Budda Baker,ARI,FS,"$17,866,168",17.866168,2023
33,Garett Bolles,DEN,LT,"$17,823,529",17.823529,2023
34,Cam Robinson,JAX,LT,"$17,797,382",17.797382,2023
35,Kolton Miller,LV,LT,"$17,650,000",17.65,2023
36,Cooper Kupp,LAR,WR,"$17,360,000",17.36,2023
37,DeForest Buckner,IND,DL/DT,"$17,250,000",17.25,2023
38,Emmanuel Ogbah,MIA,DL/DE,"$17,185,292",17.185292,2023
39,DeMarcus Lawrence,DAL,DL/DE,"$17,110,000",17.11,2023
40,Eddie Jackson,CHI,FS,"$17,090,000",17.09,2023
41,Cameron Jordan,NO,ED/DE,"$16,937,473",16.937473,2023
42,Khalil Mack,LAC,ED/OLB,"$16,632,500",16.6325,2023
43,Frank Ragnow,DET,C,"$16,450,000",16.45,2023
44,Matt Judon,NE,LB/OLB,"$16,440,555",16.440555,2023
45,Derrick Henry,TEN,RB,"$16,367,647",16.367647,2023
46,Diontae Johnson,PIT,WR,"$16,333,333",16.333333,2023
47,Myles Garrett,CLE,ED/DE,"$16,240,000",16.24,2023
48,Tre'Davious White,BUF,CB,"$16,193,737",16.193737,2023
49,Brian Burns,CAR,ED/OLB,"$16,012,000",16.012,2023
50,Kyler Murray,ARI,QB,"$16,007,000",16.007,2023
51,Joey Bosa,LAC,ED/OLB,"$15,776,666",15.776666,2023
52,D.J. Reader,CIN,DL/DT,"$15,591,906",15.591906,2023
53,Hunter Henry,NE,TE,"$15,500,000",15.5,2023
54,Daniel Jones,NYG,QB,"$15,435,000",15.435,2023
55,Trey Hendrickson,CIN,ED/DE,"$15,143,126",15.143126,2023
56,Stefon Diggs,BUF,WR,"$14,875,111",14.875111,2023
57,Nick Chubb,CLE,RB,"$14,850,000",14.85,2023
58,Davante Adams,LV,WR,"$14,740,000",14.74,2023
59,Lane Johnson,PHI,RT,"$14,721,000",14.721,2023
60,Travis Kelce,KC,TE,"$14,713,422",14.713422,2023
61,Tremaine Edmunds,CHI,LB/ILB,"$14,687,500",14.6875,2023
62,Michael Thomas,NO,WR,"$14,253,588",14.253588,2023
63,Cody Whitehair,CHI,G,"$14,100,000",14.1,2023
64,D.K. Metcalf,SEA,WR,"$13,720,000",13.72,2023
65,Chris Lindstrom,ATL,G,"$13,702,000",13.702,2023
66,Mark Andrews,BAL,TE,"$13,657,611",13.657611,2023
67,Shaq Thompson,CAR,ED/OLB,"$13,622,155",13.622155,2023
68,Mike Williams,LAC,WR,"$13,540,000",13.54,2023
69,Taylor Moton,CAR,RT,"$13,527,916",13.527916,2023
70,Joe Thuney,KC,G,"$13,416,250",13.41625,2023
71,Marquise Brown,ARI,WR,"$13,413,000",13.413,2023
72,Hunter Renfrow,LV,WR,"$13,348,000",13.348,2023
73,Corey Linsley,LAC,C,"$13,100,000",13.1,2023
74,Chukwuma Okorafor,PIT,RT,"$13,083,333",13.083333,2023
75,Curtis Samuel,WAS,WR,"$13,000,000",13.0,2023
76,D.J. Jones,DEN,DL/DT,"$12,988,333",12.988333,2023
77,Maxx Crosby,LV,DL/DE,"$12,978,250",12.97825,2023
78,Kenny Clark,GB,DL/DT,"$12,905,000",12.905,2023
79,Tyreek Hill,MIA,WR,"$12,823,750",12.82375,2023
80,Keenan Allen,LAC,WR,"$12,782,500",12.7825,2023
81,Justin Reid,KC,SS,"$12,700,000",12.7,2023
82,D.J. Humphries,ARI,LT,"$12,641,667",12.641667,2023
83,Jonah Williams,CIN,RT,"$12,604,000",12.604,2023
84,Trent Williams,SF,LT,"$12,595,521",12.595521,2023
85,Jerome Baker,MIA,LB/ILB,"$12,516,111",12.516111,2023
86,Darious Williams,JAX,CB,"$12,500,000",12.5,2023
87,Marlon Humphrey,BAL,CB,"$12,457,800",12.4578,2023
88,Ryan Kelly,IND,C,"$12,375,000",12.375,2023
89,Trenton Brown,NE,LT,"$12,213,236",12.213236,2023
90,Quenton Nelson,IND,G,"$12,200,000",12.2,2023
91,Denzel Ward,CLE,CB,"$12,179,822",12.179822,2023
92,Quandre Diggs,SEA,FS,"$11,937,500",11.9375,2023
93,Arik Armstead,SF,ED/DE,"$11,931,760",11.93176,2023
94,Darius Slay,PHI,CB,"$11,903,000",11.903,2023
95,Harrison Smith,MIN,SS,"$11,827,636",11.827636,2023
96,Rashan Gary,GB,DL/DE,"$11,823,166",11.823166,2023
97,Zack Martin,DAL,G,"$11,750,000",11.75,2023
98,Marshon Lattimore,NO,CB,"$11,728,400",11.7284,2023
99,Devin White,TB,LB/ILB,"$11,706,000",11.706,2023
100,Kendall Fuller,WAS,CB,"$11,625,000",11.625,2023
101,Jamal Adams,SEA,SS,"$11,496,666",11.496666,2023
102,Mitch Morse,BUF,C,"$11,420,000",11.42,2023
103,Josh Jacobs,LV,RB,"$11,391,000",11.391,2023
104,Christian Kirk,JAX,WR,"$11,316,932",11.316932,2023
105,Duane Brown,NYJ,LT,"$11,281,882",11.281882,2023
106,James Daniels,PIT,G,"$11,166,666",11.166666,2023
107,Calvin Ridley,JAX,WR,"$11,116,000",11.116,2023
108,Ryan Ramczyk,NO,RT,"$11,105,323",11.105323,2023
109,Tyler Lockett,SEA,WR,"$11,060,000",11.06,2023
110,Terry McLaurin,WAS,WR,"$11,025,000",11.025,2023
111,Nick Bosa,SF,ED/DE,"$11,010,000",11.01,2023
112,Marquez Valdes-Scantling,KC,WR,"$10,980,000",10.98,2023
113,Dion Dawkins,BUF,LT,"$10,966,794",10.966794,2023
114,Joshua Hines-Allen,JAX,ED/OLB,"$10,892,000",10.892,2023
115,Laken Tomlinson,NYJ,G,"$10,880,000",10.88,2023
116,B.J. Hill,CIN,DL/DT,"$10,833,333",10.833333,2023
117,Shaquil Barrett,TB,ED/OLB,"$10,784,941",10.784941,2023
118,Micah Hyde,BUF,FS,"$10,783,058",10.783058,2023
119,Jason Kelce,PHI,C,"$10,757,000",10.757,2023
120,Christian Wilkins,MIA,DL/DT,"$10,753,000",10.753,2023
121,Harold Landry,TEN,ED/OLB,"$10,550,000",10.55,2023
122,Davon Godchaux,NE,DL/DT,"$10,500,000",10.5,2023
123,Yannick Ngakoue,CHI,ED/DE,"$10,440,000",10.44,2023
124,Orlando Brown Jr.,CIN,LT,"$10,354,000",10.354,2023
125,Jaire Alexander,GB,CB,"$10,351,645",10.351645,2023
126,Tyler Boyd,CIN,WR,"$10,300,000",10.3,2023
127,Uchenna Nwosu,SEA,LB/OLB,"$10,100,000",10.1,2023
128,Geno Smith,SEA,QB,"$10,100,000",10.1,2023
129,Brandon Graham,PHI,ED/DE,"$10,095,000",10.095,2023
130,Saquon Barkley,NYG,RB,"$10,091,000",10.091,2023
131,Tony Pollard,DAL,RB,"$10,091,000",10.091,2023
132,Brandon Scherff,JAX,G,"$10,073,184",10.073184,2023
133,Xavien Howard,MIA,CB,"$10,071,281",10.071281,2023
134,Dre'Mont Jones,SEA,ED/DE,"$10,056,666",10.056666,2023
135,Trevor Lawrence,JAX,QB,"$10,034,588",10.034588,2023
136,Stephon Gilmore,DAL,CB,"$9,980,000",9.98,2023
137,Sam Hubbard,CIN,ED/DE,"$9,970,575",9.970575,2023
138,Rob Havenstein,LAR,RT,"$9,703,294",9.703294,2023
139,Brian O'Neill,MIN,RT,"$9,669,690",9.66969,2023
140,Tua Tagovailoa,MIA,QB,"$9,633,094",9.633094,2023
141,Zach Wilson,NYJ,QB,"$9,586,549",9.586549,2023
142,George Kittle,SF,TE,"$9,577,740",9.57774,2023
143,Jessie Bates III,ATL,FS,"$9,500,000",9.5,2023
144,Austin Johnson,LAC,DL/DT,"$9,500,000",9.5,2023
145,James Conner,ARI,RB,"$9,453,260",9.45326,2023
146,Michael Davis,LAC,CB,"$9,376,464",9.376464,2023
147,Andrew Thomas,NYG,T,"$9,291,778",9.291778,2023
148,Terron Armstead,MIA,LT,"$9,238,456",9.238456,2023
149,Will Dissly,SEA,TE,"$9,190,000",9.19,2023
150,Derwin James,LAC,SS,"$9,106,400",9.1064,2023
151,Denico Autry,TEN,DL/DE,"$9,102,932",9.102932,2023
152,Fred Warner,SF,LB/ILB,"$9,049,000",9.049,2023
153,Roquan Smith,BAL,LB/ILB,"$9,000,000",9.0,2023
