rank,player_name,team,position,total_contract_value,total_contract_value_millions,year
154,Kyle Pitts,ATL,TE,"$8,975,589",8.975589,2023
155,Aaron Rodgers,NYJ,QB,"$8,888,888",8.888888,2023
156,Amani Hooker,TEN,SS,"$8,870,294",8.870294,2023
157,Joe Mixon,CIN,RB,"$8,850,000",8.85,2023
158,Andrus Peat,NO,G,"$8,846,000",8.846,2023
159,Foyesade Oluokun,JAX,LB/ILB,"$8,830,667",8.830667,2023
160,Alex Cappa,CIN,G,"$8,720,592",8.720592,2023
161,Deatrich Wise,NE,ED/DE,"$8,700,000",8.7,2023
162,Logan Thomas,WAS,TE,"$8,675,000",8.675,2023
163,Deebo Samuel,SF,WR,"$8,653,521",8.653521,2023
164,Chris Godwin,TB,WR,"$8,614,000",8.614,2023
165,Daron Payne,WAS,DL/DT,"$8,610,000",8.61,2023
166,DaQuan Jones,BUF,DL/DT,"$8,583,333",8.583333,2023
167,Travon Walker,JAX,DL/DE,"$8,513,778",8.513778,2023
168,Jacoby Brissett,WAS,QB,"$8,500,000",8.5,2023
169,Justin Herbert,LAC,QB,"$8,458,176",8.458176,2023
170,Ja'Marr Chase,CIN,WR,"$8,405,357",8.405357,2023
171,Kenny Moore,IND,CB,"$8,400,872",8.400872,2023
172,Connor Williams,MIA,C,"$8,375,000",8.375,2023
173,Mark Glowinski,NYG,G,"$8,350,000",8.35,2023
174,A.J. Brown,PHI,WR,"$8,318,894",8.318894,2023
175,Gerald Everett,LAC,TE,"$8,250,000",8.25,2023
176,Aidan Hutchinson,DET,ED/DE,"$8,116,679",8.116679,2023
177,Chidobe Awuzie,CIN,CB,"$8,102,935",8.102935,2023
178,Donte Jackson,CAR,CB,"$8,075,167",8.075167,2023
179,Tim Patrick,DEN,WR,"$8,071,666",8.071666,2023
180,Tyron Smith,DAL,LT,"$8,005,000",8.005,2023
181,David Onyemata,ATL,DL/DT,"$8,000,000",8.0,2023
182,Alvin Kamara,NO,RB,"$7,977,000",7.977,2023
183,D.J. Reed,NYJ,CB,"$7,965,576",7.965576,2023
184,Von Miller,BUF,ED/DE,"$7,939,000",7.939,2023
185,Minkah Fitzpatrick,PIT,SS,"$7,935,000",7.935,2023
186,Aaron Jones,GB,RB,"$7,879,352",7.879352,2023
187,Derek Stingley Jr.,HOU,CB,"$7,876,708",7.876708,2023
188,Austin Ekeler,LAC,RB,"$7,750,000",7.75,2023
189,Demario Davis,NO,LB/ILB,"$7,608,000",7.608,2023
190,Ahmad Gardner,NYJ,CB,"$7,602,455",7.602455,2023
191,Bradley Chubb,MIA,ED/OLB,"$7,541,489",7.541489,2023
192,Derrick Brown,CAR,DL/DT,"$7,515,902",7.515902,2023
193,Calais Campbell,ATL,ED/DE,"$7,500,000",7.5,2023
194,Carlton Davis,TB,CB,"$7,479,689",7.479689,2023
195,Jordan Mailata,PHI,LT,"$7,471,000",7.471,2023
196,Maliek Collins,HOU,DL/DT,"$7,470,576",7.470576,2023
197,Justin Jones,CHI,DL/DT,"$7,400,000",7.4,2023
198,Jaylen Waddle,MIA,WR,"$7,387,090",7.38709,2023
199,Cole Kmet,CHI,TE,"$7,360,778",7.360778,2023
200,Marcus Williams,BAL,S,"$7,262,380",7.26238,2023
201,Dorance Armstrong,DAL,DL/DE,"$7,250,000",7.25,2023
202,Grover Stewart,IND,DL/DT,"$7,243,333",7.243333,2023
203,Josey Jewell,DEN,LB/ILB,"$7,220,000",7.22,2023
204,Derek Carr,NO,QB,"$7,200,000",7.2,2023
205,Kayvon Thibodeaux,NYG,ED/OLB,"$7,122,509",7.122509,2023
206,Taron Johnson,BUF,CB,"$7,037,500",7.0375,2023
207,Jack Conklin,CLE,RT,"$7,020,823",7.020823,2023
208,Bobby Wagner,SEA,LB/ILB,"$7,000,000",7.0,2023
209,David Andrews,NE,C,"$6,998,522",6.998522,2023
210,Andre James,LV,C,"$6,980,000",6.98,2023
211,Haason Reddick,PHI,LB/OLB,"$6,957,000",6.957,2023
212,Michael Gallup,DAL,WR,"$6,950,000",6.95,2023
213,Elgton Jenkins,GB,G,"$6,940,907",6.940907,2023
214,Mason Cole,PIT,C,"$6,921,666",6.921666,2023
215,Tytus Howard,HOU,RT/G,"$6,907,877",6.907877,2023
216,Bryce Young,CAR,QB,"$6,900,922",6.900922,2023
217,Tyrod Taylor,NYG,QB,"$6,900,000",6.9,2023
218,Nate Davis,CHI,G,"$6,897,050",6.89705,2023
219,Foley Fatukasi,JAX,DL/DT,"$6,874,498",6.874498,2023
220,Kendrick Bourne,NE,WR,"$6,872,539",6.872539,2023
221,Taysom Hill,NO,TE,"$6,869,000",6.869,2023
222,Matt Milano,BUF,LB/OLB,"$6,867,000",6.867,2023
223,Noah Fant,SEA,TE,"$6,850,000",6.85,2023
224,Harrison Phillips,MIN,DL/DT,"$6,833,333",6.833333,2023
225,James Hurst,NO,LT,"$6,761,000",6.761,2023
226,Joel Bitonio,CLE,G,"$6,732,000",6.732,2023
227,C.J. Uzomah,NYJ,TE,"$6,721,666",6.721666,2023
228,Bilal Nichols,LV,DL/DT,"$6,657,500",6.6575,2023
229,Javon Hargrave,SF,DL/DT,"$6,615,000",6.615,2023
230,C.J. Stroud,HOU,QB,"$6,596,226",6.596226,2023
231,Penei Sewell,DET,RT,"$6,572,473",6.572473,2023
232,Kyle Juszczyk,SF,FB,"$6,565,214",6.565214,2023
233,Vita Vea,TB,DL/DT,"$6,515,643",6.515643,2023
234,Charles Leno,WAS,LT,"$6,500,000",6.5,2023
235,Joseph Noteboom,LAR,T,"$6,500,000",6.5,2023
236,Tyler Higbee,LAR,TE,"$6,438,786",6.438786,2023
237,Quinnen Williams,NYJ,DL/DT,"$6,435,165",6.435165,2023
238,Charvarius Ward,SF,CB,"$6,421,000",6.421,2023
239,DeMarcus Walker,CHI,ED/DE,"$6,416,666",6.416666,2023
240,Will Anderson,HOU,LB/OLB,"$6,402,332",6.402332,2023
241,Preston Smith,GB,ED/OLB,"$6,372,000",6.372,2023
242,Jeffery Simmons,TEN,DL/DT,"$6,350,575",6.350575,2023
243,Dawson Knox,BUF,TE,"$6,345,000",6.345,2023
244,Tracy Walker,DET,FS,"$6,321,667",6.321667,2023
245,Wyatt Teller,CLE,G,"$6,290,300",6.2903,2023
246,Jimmy Garoppolo,LV,QB,"$6,282,000",6.282,2023
247,Ikem Ekwonu,CAR,LT,"$6,265,466",6.265466,2023
248,Dallas Goedert,PHI,TE,"$6,261,583",6.261583,2023
249,Jayron Kearse,DAL,SS,"$6,220,576",6.220576,2023
250,Jonathan Jones,NE,CB,"$6,191,176",6.191176,2023
251,Anthony Richardson,IND,QB,"$6,180,733",6.180733,2023
252,Jalen Hurts,PHI,QB,"$6,154,286",6.154286,2023
253,Jourdan Lewis,DAL,CB,"$6,137,244",6.137244,2023
254,Tyler Conklin,NYJ,TE,"$6,088,333",6.088333,2023
255,Mike Hilton,CIN,CB,"$6,050,000",6.05,2023
256,Mitchell Trubisky,PIT,QB,"$6,011,666",6.011666,2023
257,Zach Allen,DEN,DL/DE,"$6,000,000",6.0,2023
258,Brandin Cooks,DAL,WR,"$6,000,000",6.0,2023
259,Mike McGlinchey,DEN,RT,"$6,000,000",6.0,2023
260,Patrick Mekari,BAL,T/C,"$6,000,000",6.0,2023
261,Jonnu Smith,ATL,TE,"$6,000,000",6.0,2023
262,Romeo Okwara,DET,LB/OLB,"$5,970,576",5.970576,2023
263,Marcus Davenport,MIN,DL/DE,"$5,964,705",5.964705,2023
264,Justin Tucker,BAL,K,"$5,958,333",5.958333,2023
265,Ryan Jensen,TB,C,"$5,932,000",5.932,2023
266,Mekhi Becton,NYJ,RT,"$5,869,197",5.869197,2023
267,Josh Sweat,PHI,ED/DE,"$5,857,000",5.857,2023
268,Trevon Diggs,DAL,CB,"$5,843,256",5.843256,2023
269,Roy Robertson-Harris,JAX,DL/DT,"$5,833,334",5.833334,2023
270,Jawaan Taylor,KC,RT,"$5,825,000",5.825,2023
271,Jamal Agnew,JAX,WR,"$5,810,785",5.810785,2023
272,Devon Witherspoon,SEA,CB,"$5,792,937",5.792937,2023
273,Jaycee Horn,CAR,CB,"$5,757,858",5.757858,2023
274,Patrick Surtain II,DEN,CB,"$5,717,097",5.717097,2023
275,Dexter Lawrence,NYG,DL/DT,"$5,714,600",5.7146,2023
276,Sam Darnold,SF,QB,"$5,711,765",5.711765,2023
277,Fletcher Cox,PHI,DL/DT,"$5,700,000",5.7,2023
278,David Njoku,CLE,TE,"$5,657,000",5.657,2023
279,Chris Boswell,PIT,K,"$5,640,000",5.64,2023
280,Zay Jones,JAX,WR,"$5,612,032",5.612032,2023
281,Evan Neal,NYG,RT,"$5,579,831",5.579831,2023
282,Ted Karras,CIN,C,"$5,570,592",5.570592,2023
283,Dre Greenlaw,SF,LB,"$5,548,558",5.548558,2023
284,Frankie Luvu,CAR,ED/OLB,"$5,500,000",5.5,2023
285,Kaleb McGary,ATL,RT,"$5,500,000",5.5,2023
286,Cordarrelle Patterson,ATL,RB,"$5,500,000",5.5,2023
287,DeVonta Smith,PHI,WR,"$5,493,107",5.493107,2023
288,Levi Wallace,PIT,CB,"$5,482,500",5.4825,2023
289,De'Vondre Campbell,GB,LB/ILB,"$5,480,819",5.480819,2023
290,Ed Oliver,BUF,DL/DT,"$5,478,000",5.478,2023
291,Morgan Moses,BAL,RT,"$5,460,000",5.46,2023
292,Robert Woods,HOU,WR,"$5,455,870",5.45587,2023
293,Germaine Pratt,CIN,LB,"$5,433,333",5.433333,2023
294,Lucas Patrick,CHI,G,"$5,382,500",5.3825,2023
295,Steven Nelson,HOU,CB,"$5,366,000",5.366,2023
296,Rayshawn Jenkins,JAX,SS,"$5,364,000",5.364,2023
297,Mo Alie-Cox,IND,TE,"$5,310,000",5.31,2023
298,Jalen Thompson,ARI,SS,"$5,267,750",5.26775,2023
299,Samson Ebukam,IND,ED/DE,"$5,265,000",5.265,2023
300,Ben Powers,DEN,G,"$5,250,000",5.25,2023
301,Taylor Heinicke,ATL,QB,"$5,220,000",5.22,2023
302,Kevin Zeitler,BAL,G,"$5,207,000",5.207,2023
303,Charles Harris,DET,ED/DE,"$5,179,498",5.179498,2023
304,Austin Corbett,CAR,G,"$5,163,000",5.163,2023
305,Justin Fields,CHI,QB,"$5,146,897",5.146897,2023
306,Harrison Butker,KC,K,"$5,128,796",5.128796,2023
307,Jonathan Taylor,IND,RB,"$5,117,482",5.117482,2023
308,Paris Johnson,ARI,RT,"$5,100,446",5.100446,2023
309,Cairo Santos,CHI,K,"$5,060,000",5.06,2023
310,Halapoulivaati Vaitai,DET,G,"$5,053,194",5.053194,2023
311,Cesar Ruiz,NO,G,"$5,034,293",5.034293,2023
312,Parris Campbell,NYG,WR,"$5,000,000",5.0,2023
313,T.J. Edwards,CHI,LB,"$5,000,000",5.0,2023
314,Evan Engram,JAX,TE,"$5,000,000",5.0,2023
315,Jordan Hicks,MIN,LB/ILB,"$5,000,000",5.0,2023
316,Riley Reiff,NE,T,"$5,000,000",5.0,2023
317,T.J. Hockenson,MIN,TE,"$4,992,000",4.992,2023
318,Jordan Poyer,BUF,SS,"$4,970,000",4.97,2023
319,Austin Jackson,MIA,RT,"$4,934,543",4.934543,2023
320,Larry Ogunjobi,PIT,DL/DE,"$4,933,333",4.933333,2023
321,Jordan Whitehead,NYJ,SS,"$4,932,500",4.9325,2023
322,"Odell Beckham, Jr.",BAL,WR,"$4,932,000",4.932,2023
323,Javon Kinlaw,SF,DL/DT,"$4,928,220",4.92822,2023
324,Drake London,ATL,WR,"$4,894,197",4.894197,2023
325,Ja'whaun Bentley,NE,LB/ILB,"$4,883,333",4.883333,2023
326,Charles Cross,SEA,LT,"$4,859,915",4.859915,2023
327,Jerry Jeudy,DEN,WR,"$4,834,128",4.834128,2023
328,Jimmie Ward,HOU,FS,"$4,794,110",4.79411,2023
329,Younghoe Koo,ATL,K,"$4,750,000",4.75,2023
330,Montez Sweat,CHI,ED/DE,"$4,724,088",4.724088,2023
331,Marcus Epps,LV,FS,"$4,707,500",4.7075,2023
332,Shaq Mason,HOU,G,"$4,700,000",4.7,2023
333,Erik McCoy,NO,C,"$4,680,000",4.68,2023
334,JuJu Smith-Schuster,NE,WR,"$4,674,509",4.674509,2023
335,Garrett Wilson,NYJ,WR,"$4,671,365",4.671365,2023
336,Micah Parsons,DAL,ED/OLB,"$4,658,125",4.658125,2023
337,Dawuane Smoot,JAX,DL/DE,"$4,632,348",4.632348,2023
338,Malik Hooker,DAL,FS,"$4,570,576",4.570576,2023
339,Jameis Winston,NO,QB,"$4,552,000",4.552,2023
340,A.J. Terrell,ATL,CB,"$4,551,829",4.551829,2023
341,Tyree Wilson,LV,DL/DE,"$4,546,454",4.546454,2023
342,Adrian Phillips,NE,FS,"$4,537,500",4.5375,2023
343,Rashawn Slater,LAC,LT,"$4,535,934",4.535934,2023
344,Devin Duvernay,BAL,WR,"$4,525,966",4.525966,2023
345,Jadeveon Clowney,BAL,DL/DE,"$4,505,000",4.505,2023
346,Kaden Elliss,ATL,LB/ILB,"$4,500,000",4.5,2023
347,Chauncey Gardner-Johnson,DET,S,"$4,500,000",4.5,2023
348,Cedrick Wilson,MIA,WR,"$4,500,000",4.5,2023
349,Darren Waller,NYG,TE,"$4,498,750",4.49875,2023
350,Charles Omenihu,KC,ED/DE,"$4,490,000",4.49,2023
351,CeeDee Lamb,DAL,WR,"$4,457,731",4.457731,2023
352,Mike Gesicki,NE,TE,"$4,450,000",4.45,2023
353,Jedrick Wills,CLE,LT,"$4,439,700",4.4397,2023
354,Xavier Woods,CAR,SS,"$4,439,166",4.439166,2023
355,Russell Gage,TB,WR,"$4,430,667",4.430667,2023
356,Alex Highsmith,PIT,ED/OLB,"$4,418,074",4.418074,2023
357,Jordan Love,GB,QB,"$4,409,271",4.409271,2023
358,Bobby Okereke,NYG,LB,"$4,385,000",4.385,2023
359,Chris Olave,NO,WR,"$4,379,971",4.379971,2023
360,Sheldon Rankins,HOU,DL/DT,"$4,352,935",4.352935,2023
361,Cornelius Lucas,WAS,LT,"$4,350,000",4.35,2023
362,Dalvin Tomlinson,CLE,DL/DT,"$4,332,280",4.33228,2023
363,Alijah Vera-Tucker,NYJ,RT,"$4,332,280",4.33228,2023
364,Aaron Brewer,TEN,C,"$4,304,000",4.304,2023
365,Bryce Huff,NYJ,LB,"$4,304,000",4.304,2023
366,Terence Steele,DAL,RT,"$4,304,000",4.304,2023
367,Graham Gano,NYG,K,"$4,297,963",4.297963,2023
368,Emmanuel Moseley,DET,CB,"$4,294,117",4.294117,2023
369,Dennis Gardeck,ARI,LB/OLB,"$4,276,666",4.276666,2023
370,Mac Jones,NE,QB,"$4,250,823",4.250823,2023
371,Daniel Carlson,LV,K,"$4,250,000",4.25,2023
372,Lorenzo Carter,ATL,LB/OLB,"$4,250,000",4.25,2023
373,K’Lavon Chaisson,JAX,ED/OLB,"$4,246,013",4.246013,2023
374,Tyrann Mathieu,NO,SS,"$4,232,000",4.232,2023
375,Patrick Peterson,PIT,CB,"$4,225,000",4.225,2023
376,Darius Slayton,NYG,WR,"$4,205,882",4.205882,2023
377,Jakobi Meyers,LV,WR,"$4,182,613",4.182613,2023
378,Justin Jefferson,MIN,WR,"$4,175,437",4.175437,2023
379,Andrew Wylie,WAS,RT,"$4,166,666",4.166666,2023
380,Tim Settle,BUF,DL/DT,"$4,148,000",4.148,2023
381,John Franklin-Myers,NYJ,ED/DE,"$4,144,000",4.144,2023
382,Chuck Clark,NYJ,SS,"$4,140,000",4.14,2023
383,Kenneth Murray,LAC,LB/ILB,"$4,128,390",4.12839,2023
384,Jerry Hughes,HOU,ED/DE,"$4,107,999",4.107999,2023
385,Deonte Harty,BUF,WR,"$4,105,000",4.105,2023
386,Ka'imi Fairbairn,HOU,K,"$4,067,533",4.067533,2023
387,Patrick Ricard,BAL,FB,"$4,055,000",4.055,2023
388,Avonte Maddox,PHI,CB,"$4,053,965",4.053965,2023
389,DeAndre Hopkins,TEN,WR,"$4,028,000",4.028,2023
390,Zaven Collins,ARI,LB/ILB,"$4,006,434",4.006434,2023
391,Phil Haynes,SEA,G,"$4,000,000",4.0,2023
392,Eric Kendricks,LAC,LB/ILB,"$4,000,000",4.0,2023
393,Drew Lock,SEA,QB,"$4,000,000",4.0,2023
394,Connor McGovern,BUF,G,"$4,000,000",4.0,2023
395,Josh Reynolds,DET,WR,"$4,000,000",4.0,2023
396,Bijan Robinson,ATL,RB,"$3,992,461",3.992461,2023
397,Brandon Aiyuk,SF,WR,"$3,987,245",3.987245,2023
398,Jalen Carter,PHI,DL/DT,"$3,964,730",3.96473,2023
399,Tee Higgins,CIN,WR,"$3,962,416",3.962416,2023
400,Michael Pittman Jr.,IND,WR,"$3,948,973",3.948973,2023
401,Carl Granderson,NO,ED/DE,"$3,940,000",3.94,2023
402,Julian Love,SEA,FS,"$3,900,000",3.9,2023
403,Jordyn Brooks,SEA,LB/ILB,"$3,893,148",3.893148,2023
404,Patrick Queen,BAL,LB/ILB,"$3,869,623",3.869623,2023
405,Jordan Davis,PHI,DL/DT,"$3,853,489",3.853489,2023
406,Robert Hunt,MIA,G,"$3,848,498",3.848498,2023
407,Jaelan Phillips,MIA,ED/OLB,"$3,823,146",3.823146,2023
408,Darnell Wright,CHI,RT,"$3,812,412",3.812412,2023
409,Jamel Dean,TB,CB,"$3,805,176",3.805176,2023
410,Ian Thomas,CAR,TE,"$3,768,430",3.76843,2023
