rank,player_name,team,position,age,total_contract_value,total_contract_value_millions,year
1,Eli Manning,NYG,QB,,"$24,200,000",24.2,2016
2,Ben Roethlisberger,PIT,QB,,"$23,950,000",23.95,2016
3,Matt Ryan,ATL,QB,,"$23,750,000",23.75,2016
4,Joe Flacco,BAL,QB,,"$22,550,000",22.55,2016
5,Matthew Stafford,DET,QB,22,"$22,500,000",22.5,2016
6,Tony Romo,DAL,QB,,"$20,835,000",20.835,2016
7,Kirk Cousins,WAS,QB,,"$19,953,000",19.953,2016
8,Cam Newton,CAR,QB,,"$19,500,000",19.5,2016
9,Aaron Rodgers,GB,QB,,"$19,250,000",19.25,2016
10,Russell Wilson,SEA,QB,,"$18,542,000",18.542,2016
11,Andrew Luck,IND,QB,,"$18,400,000",18.4,2016
12,Carson Palmer,ARI,QB,,"$18,375,000",18.375,2016
13,Alex Smith,KC,QB,,"$17,800,000",17.8,2016
14,Drew Brees,NO,QB,,"$17,250,000",17.25,2016
15,Jay Cutler,CHI,QB,,"$17,000,000",17.0,2016
16,Darrelle Revis,NYJ,CB,,"$17,000,000",17.0,2016
17,Colin Kaepernick,SF,QB,,"$16,765,753",16.765753,2016
18,Philip Rivers,SD,QB,,"$16,500,000",16.5,2016
19,Julio Jones,ATL,WR,,"$15,900,000",15.9,2016
20,Larry Fitzgerald,ARI,WR,,"$15,850,000",15.85,2016
21,Calais Campbell,ARI,DL/DE,,"$15,250,000",15.25,2016
22,Demaryius Thomas,DEN,WR,,"$15,200,000",15.2,2016
23,Lawrence Timmons,PIT,LB,,"$15,131,250",15.13125,2016
24,Richard Sherman,SEA,CB,,"$14,769,000",14.769,2016
25,J.J. Watt,HOU,DL,,"$14,500,000",14.5,2016
26,Trumaine Johnson,LAR,CB,,"$13,952,000",13.952,2016
27,Tom Brady,NE,QB,,"$13,764,705",13.764705,2016
28,Clay Matthews Jr.,GB,ED,,"$13,750,000",13.75,2016
29,Joe Haden,CLE,CB,,"$13,400,000",13.4,2016
30,Kelechi Osemele,OAK,G,,"$13,200,000",13.2,2016
31,Andy Dalton,CIN,QB,,"$13,100,000",13.1,2016
32,Justin Houston,KC,ED,,"$13,100,000",13.1,2016
33,Dez Bryant,DAL,WR,,"$13,000,000",13.0,2016
34,A.J. Green,CIN,WR,,"$13,000,000",13.0,2016
35,Gerald McCoy,TB,DL,,"$13,000,000",13.0,2016
36,Olivier Vernon,NYG,ED,,"$13,000,000",13.0,2016
37,Marcell Dareus,BUF,DL,,"$12,691,176",12.691176,2016
38,Ndamukong Suh,MIA,DL,,"$12,600,000",12.6,2016
39,Bruce Irvin,OAK,LB,,"$12,500,000",12.5,2016
40,Jeremy Maclin,KC,WR,,"$12,400,000",12.4,2016
41,Vincent Jackson,TB,WR,,"$12,209,777",12.209777,2016
42,Brock Osweiler,HOU,QB,,"$12,000,000",12.0,2016
43,Adrian Peterson,MIN,RB,,"$12,000,000",12.0,2016
44,Sam Shields,GB,CB,,"$12,000,000",12.0,2016
45,Antonio Brown,PIT,WR,,"$11,883,333",11.883333,2016
46,Ryan Kalil,CAR,C,,"$11,829,000",11.829,2016
47,Ryan Tannehill,MIA,QB,,"$11,640,000",11.64,2016
48,Von Miller,DEN,ED/OLB,,"$11,500,000",11.5,2016
49,Alshon Jeffery,CHI,WR,,"$11,163,940",11.16394,2016
50,Robert Quinn,LAR,LB,,"$11,157,374",11.157374,2016
51,Matt Kalil,MIN,LT,,"$11,096,000",11.096,2016
52,Stephon Gilmore,BUF,CB,,"$11,082,000",11.082,2016
53,Michael Crabtree,OAK,WR,,"$11,000,000",11.0,2016
54,T.Y. Hilton,IND,WR,,"$11,000,000",11.0,2016
55,Sean Smith,OAK,CB,,"$11,000,000",11.0,2016
56,Jairus Byrd,NO,FS,,"$10,900,000",10.9,2016
57,Eric Berry,KC,FS,,"$10,806,000",10.806,2016
58,Maurkice Pouncey,PIT,C,,"$10,551,000",10.551,2016
59,Patrick Peterson,ARI,CB,,"$10,534,024",10.534024,2016
60,Julius Peppers,GB,DL,,"$10,500,000",10.5,2016
61,Cameron Heyward,PIT,DL/DE,,"$10,400,000",10.4,2016
62,Nate Solder,NE,LT,,"$10,322,666",10.322666,2016
63,Navorro Bowman,SF,LB,,"$10,234,000",10.234,2016
64,Brandon Carr,DAL,CB,,"$10,217,000",10.217,2016
65,Pierre Garcon,WAS,WR,,"$10,200,000",10.2,2016
66,Branden Albert,MIA,LT,,"$10,150,000",10.15,2016
67,Mike Pouncey,MIA,C,,"$10,025,000",10.025,2016
68,Lavonte David,TB,LB/OLB,,"$10,000,000",10.0,2016
69,Malik Jackson,JAX,DL,,"$10,000,000",10.0,2016
70,Corey Liuget,SD,DL,,"$10,000,000",10.0,2016
71,Muhammad Wilkerson,NYJ,DL,,"$10,000,000",10.0,2016
72,Aqib Talib,DEN,CB,,"$9,968,750",9.96875,2016
73,Earl Thomas,SEA,FS,,"$9,900,000",9.9,2016
74,Anthony Castonzo,IND,LT,,"$9,800,000",9.8,2016
75,Brandon Flowers,SD,CB,,"$9,750,000",9.75,2016
76,Jason Peters,PHI,LT,,"$9,737,500",9.7375,2016
77,Geno Atkins,CIN,DL,,"$9,600,000",9.6,2016
78,Jonathan Stewart,CAR,RB,,"$9,550,000",9.55,2016
