rank,player_name,team,position,age,total_contract_value,total_contract_value_millions,year
1467,Adam Thielen,MIN,WR,,"$510,000",0.51,2015
1468,Tress Way,WAS,P,,"$510,000",0.51,2015
1469,Austin Wentworth,MIN,RT,,"$510,000",0.51,2015
1470,Charcandrick West,KC,RB,,"$510,000",0.51,2015
1471,K'Waun Williams,CLE,CB,,"$510,000",0.51,2015
1472,Marcus Williams,NYJ,CB,,"$510,000",0.51,2015
1473,Nick Williams,KC,DL,,"$510,000",0.51,2015
1474,Nick Williams,ATL,WR,,"$510,000",0.51,2015
1475,Brad Wing,NYG,P,,"$510,000",0.51,2015
1476,Phillip Gaines,KC,CB,,"$509,513",0.509513,2015
1477,Randell Johnson,BUF,LB,,"$505,109",0.505109,2015
1478,Frank Kearse,WAS,DL,,"$504,705",0.504705,2015
1479,Martavis Bryant,PIT,WR,,"$499,805",0.499805,2015
1480,Antone Exum,MIN,FS,,"$497,299",0.497299,2015
1481,Grady Jarrett,ATL,DL/DT,,"$496,963",0.496963,2015
1482,David Cobb,TEN,RB,,"$496,417",0.496417,2015
1483,Ben Heeney,OAK,LB,,"$495,681",0.495681,2015
1484,P.J. Williams,NO,CB,,"$494,654",0.494654,2015
1485,C.J. Wilson,DET,DL,,"$494,188",0.494188,2015
1486,Adrian Amos,CHI,FS,,"$493,070",0.49307,2015
1487,MyCole Pruitt,MIN,TE,,"$492,647",0.492647,2015
1488,Bobby McCain,MIA,CB,,"$492,072",0.492072,2015
1489,Stefon Diggs,MIN,WR,,"$491,928",0.491928,2015
1490,Brett Hundley,GB,QB,,"$490,908",0.490908,2015
1491,David Parry,IND,DL,,"$490,002",0.490002,2015
1492,Kyle Emanuel,SD,ED,,"$489,643",0.489643,2015
1493,Tyeler Davison,NO,DL,,"$489,306",0.489306,2015
1494,Chris McCain,MIA,LB,,"$489,176",0.489176,2015
1495,Karlos Williams,BUF,RB,,"$488,838",0.488838,2015
1496,Tony Lippett,MIA,CB,,"$488,690",0.48869,2015
1497,C.J. Uzomah,CIN,TE,,"$488,190",0.48819,2015
1498,Shaquille Riddick,ARI,ED,,"$487,958",0.487958,2015
1499,J.J. Nelson,ARI,WR,,"$487,450",0.48745,2015
1500,Jesse James,PIT,TE,,"$487,228",0.487228,2015
1501,Tourek Williams,SD,ED,,"$487,044",0.487044,2015
1502,Neiron Ball,OAK,LB,,"$484,389",0.484389,2015
1503,Lorenzo Doss,DEN,CB,,"$484,303",0.484303,2015
1504,Bradley Pinion,SF,P,,"$483,550",0.48355,2015
1505,Mason Foster,WAS,LB,,"$481,764",0.481764,2015
1506,Nick Novak,HOU,K,,"$481,764",0.481764,2015
1507,Tyler Polumbus,DEN,LT,,"$481,764",0.481764,2015
1508,Chris Prosinski,CHI,SS,,"$481,764",0.481764,2015
1509,LaRoy Reynolds,CHI,LB,,"$481,764",0.481764,2015
1510,Caleb Sturgis,PHI,K,,"$481,764",0.481764,2015
1511,Michael Burton,DET,FB,,"$481,089",0.481089,2015
1512,DeAndre Smelter,SF,WR,,"$480,128",0.480128,2015
1513,James Stone,ATL,C,,"$480,097",0.480097,2015
1514,Dustin Hopkins,WAS,K,,"$480,000",0.48,2015
1515,Jake Stoneburner,MIA,TE,,"$480,000",0.48,2015
1516,Peyton Thompson,JAX,SS,,"$480,000",0.48,2015
1517,Kenny Wiggins,SD,G,,"$480,000",0.48,2015
1518,Joe Cardona,NE,LS,,"$477,500",0.4775,2015
1519,D.J. Alexander,KC,LB,,"$476,563",0.476563,2015
1520,Cameron Artis-Payne,CAR,RB,,"$476,563",0.476563,2015
1521,David Mayo,CAR,LB,,"$476,563",0.476563,2015
1522,Keith Mumphery,HOU,WR,,"$476,563",0.476563,2015
1523,Tye Smith,SEA,CB,,"$476,563",0.476563,2015
1524,Keith Reaser,SF,CB,,"$476,200",0.4762,2015
