team,year,active_cap_millions,dead_money_millions,total_cap_millions,cap_space_millions,dead_cap_pct
CLE,2017,77.946523,46.236097,156.664052,59.915427,29.51
SF,2017,78.589073,39.433149,145.364821,59.518214,27.13
JAX,2017,151.852626,11.295119,171.292956,34.574646,6.59
TEN,2017,149.109415,8.068695,161.252092,29.388759,5.0
NYJ,2017,98.416921,20.767457,144.90232,22.199908,14.33
TB,2017,125.106587,7.223802,153.756128,18.797828,4.7
IND,2017,90.264198,27.574758,156.274655,18.303815,17.65
MIN,2017,117.742794,11.934841,153.553781,16.15393,7.77
HOU,2017,99.775402,13.806954,159.828404,12.58032,8.64
BUF,2017,104.955026,28.929576,154.567897,12.422,18.72
LAC,2017,127.034223,18.816665,157.638663,11.949256,11.94
DEN,2017,121.736835,5.457705,156.404109,11.413689,3.49
CIN,2017,128.09107,4.148865,161.691563,11.193103,2.57
OAK,2017,144.377592,4.390741,164.442467,9.775008,2.67
DAL,2017,114.468318,26.658546,159.808251,9.111598,16.68
DET,2017,130.190524,10.914815,161.081019,7.312612,6.78
CHI,2017,110.629152,13.239031,167.722301,6.689489,7.89
GB,2017,115.60384,12.069022,168.491403,6.583373,7.16
PIT,2017,145.814413,11.859437,163.380183,5.498476,7.26
LAR,2017,137.06313,10.00158,156.886564,5.094547,6.38
BAL,2017,112.215774,21.993528,158.870983,4.540933,13.84
CAR,2017,144.363005,12.13027,175.448311,4.483933,6.91
NE,2017,129.468455,7.226565,163.713427,3.847061,4.41
PHI,2017,130.626348,19.58264,172.566936,3.776455,11.35
ARI,2017,104.47497,7.526798,169.351526,2.475592,4.44
KC,2017,135.438141,16.051403,167.778858,2.374735,9.57
WAS,2017,114.359646,12.634355,174.80797,1.758695,7.23
SEA,2017,126.625244,7.35631,167.367602,1.741563,4.4
ATL,2017,147.393869,8.459139,166.313787,1.594641,5.09
NO,2017,97.762121,25.613267,161.71746,1.434963,15.84
NYG,2017,104.596283,10.080895,167.429914,0.288932,6.02
MIA,2017,102.474406,20.045967,171.947683,0.038597,11.66
