team,year,active_cap_millions,dead_money_millions,total_cap_millions,cap_space_millions,dead_cap_pct
CLE,2016,81.775809,35.204018,130.222141,46.464153,27.03
SF,2016,84.921427,12.127985,134.002183,42.579751,9.05
JAX,2016,109.679864,5.108643,150.459217,39.842493,3.4
TEN,2016,116.118046,18.508957,150.462723,25.895103,12.3
CAR,2016,98.999535,13.186584,139.2319,18.761241,9.47
WAS,2016,117.003811,16.723788,146.116126,15.847898,11.45
MIA,2016,98.53241,17.521239,151.387347,15.379972,11.57
NYG,2016,127.295586,15.250316,154.901229,12.41893,9.85
NE,2016,117.616342,17.529572,147.674888,11.967563,11.87
PHI,2016,119.020957,24.179418,151.957894,9.612468,15.91
NO,2016,86.319212,42.124429,146.288954,9.273108,28.8
GB,2016,134.428984,4.663529,154.207025,9.232264,3.02
CHI,2016,73.471561,12.797351,148.323553,8.265326,8.63
IND,2016,114.015686,17.189353,152.482343,8.126686,11.27
DET,2016,116.112911,24.654669,149.718669,7.592547,16.47
DEN,2016,112.74209,15.138349,147.213128,6.881913,10.28
DAL,2016,139.363235,3.235487,152.736923,6.52426,2.12
CIN,2016,121.320842,3.968637,156.396246,6.281306,2.54
PIT,2016,120.047251,11.74767,151.419973,6.209005,7.76
LAR,2016,109.645297,21.365306,149.65765,6.007539,14.28
KC,2016,116.014324,14.18976,152.51128,5.44465,9.3
TB,2016,120.636046,6.310844,155.725098,5.413268,4.05
HOU,2016,115.226229,8.65311,152.060968,5.125112,5.69
BUF,2016,112.497692,18.773045,152.340574,5.035157,12.32
ATL,2016,112.615074,26.026281,153.820903,4.980768,16.92
SEA,2016,120.240932,14.163211,150.301345,4.221582,9.42
BAL,2016,115.846569,15.341537,150.959443,4.219312,10.16
OAK,2016,142.746501,9.198592,164.335096,3.997657,5.6
ARI,2016,111.290277,13.722653,155.855865,3.112551,8.8
SD,2016,101.639984,13.365371,155.470367,1.3044,8.6
MIN,2016,119.12721,7.538635,157.201886,-0.287169,4.8
NYJ,2016,97.375558,16.874389,158.083299,-0.554565,10.67
