player_name,team,position,year,total_contract_value_millions,guaranteed_money_millions
Floyd Leonard Floyd,ATL,DL,2015,10.0,10.0
Orhorhoro Ruke Orhorhoro,ATL,DL,2015,9.916126,8.735167
Neuzil Ryan Neuzil,ATL,C,2015,9.5,6.25
Bergeron Matthew Bergeron,ATL,G,2015,8.97848,7.014143
Ebiketie Arnold Ebiketie,ATL,ED,2015,8.818689,6.764389
Pinion Bradley Pinion,ATL,P,2015,8.65,4.325
Watts Xavier Watts,ATL,S,2015,6.188556,1.140768
Andersen Troy Andersen,ATL,LB,2015,6.10357,2.601395
Trice Bralen Trice,ATL,ED,2015,5.92974,1.132536
McCullough Liam McCullough,ATL,LS,2015,5.78,2.0
Hinton Kyle Hinton,ATL,G,2015,5.75,2.575
Harrison Zach Harrison,ATL,ED,2015,5.568448,1.04978
Hodge Khadarel Hodge,ATL,WR,2015,5.5,2.505
Malone DeAngelo Malone,ATL,ED,2015,5.229582,0.983332
Bowman Jr. Billy Bowman Jr.,ATL,S,2015,5.186152,0.986152
Dorlus Brandon Dorlus,ATL,DL,2015,4.842396,0.822396
Phillips III Clark Phillips III,ATL,CB,2015,4.613528,0.773528
Bertrand JD Bertrand,ATL,LB,2015,4.370024,0.350024
Nelson Jack Nelson,ATL,T,2015,4.352616,0.152616
Washington Casey Washington,ATL,WR,2015,4.213596,0.193596
Jerrell Michael Jerrell,ATL,RT,2015,4.18006,0.16006
Ford Michael Ford,ATL,CB,2015,4.0,1.14
Allgeier Tyler Allgeier,ATL,RB,2015,3.993896,0.333896
Hellams DeMarcco Hellams,ATL,S,2015,3.9463,0.1063
Norton Storm Norton,ATL,RT,2015,3.0,0.5
Carter Nate Carter,ATL,RB,2015,2.98,0.171
Verdon Malik Verdon,ATL,LB,2015,2.975,0.244
Heath Malik Heath,ATL,WR,2015,2.704,0.009
Henderson C.J. Henderson,ATL,CB,2015,2.385,0.0
Robinson Jammie Robinson,ATL,S,2015,2.175,0.0
Thompkins Deven Thompkins,ATL,WR,2015,2.135,0.0
Drummond Dylan Drummond,ATL,WR,2015,1.845,0.0
Bryant Cobee Bryant,ATL,CB,2015,1.845,0.0
Brooks Natrone Brooks,ATL,CB,2015,1.755,0.0
Alford Dee Alford,ATL,CB,2015,1.5,0.23
Franks Feleipe Franks,ATL,TE,2015,1.44,0.2
Wilkinson Elijah Wilkinson,ATL,T,2015,1.4225,0.1675
Harrison Ronnie Harrison,ATL,S,2015,1.255,0.0
Woods Josh Woods,ATL,LB,2015,1.17,0.0
Stick Easton Stick,ATL,QB,2015,1.17,0.0
Street Kentavius Street,ATL,DL,2015,1.17,0.0
Gonzalez Zane Gonzalez,ATL,K,2015,1.17,0.0
Kareem Khalid Kareem,ATL,DL,2015,1.17,0.0
Gill Trenton Gill,ATL,P,2015,1.145,0.0
Stille Ben Stille,ATL,DL,2015,1.145,0.0
Quitoriano Teagan Quitoriano,ATL,TE,2015,1.1,0.0
Roberts Sam Roberts,ATL,DL,2015,1.1,0.0
Sills David Sills,ATL,WR,2015,1.1,0.0
Blair Chris Blair,ATL,WR,2015,1.075,0.0
Garcia Elijah Garcia,ATL,DL,2015,1.03,0.0
Gwyn Jovaughn Gwyn,ATL,C,2015,1.03,0.0
Washington Jr. Carlos Washington Jr.,ATL,RB,2015,1.005,0.0
Stueber Andrew Stueber,ATL,LT,2015,1.005,0.0
London LaCale London,ATL,DL,2015,0.96,0.0
Simon Joshua Simon,ATL,TE,2015,0.885,0.0
Woods A.J. Woods,ATL,CB,2015,0.885,0.0
Johnson Tysheem Johnson,ATL,S,2015,0.885,0.0
Jones Emory Jones,ATL,QB,2015,0.84,0.0
Jackson Lamar Jackson,BAL,QB,2015,260.0,135.0
Hamilton Kyle Hamilton,BAL,S,2015,100.4,48.022604
Smith Roquan Smith,BAL,LB,2015,100.0,45.0
Madubuike Nnamdi Madubuike,BAL,DL,2015,98.0,53.5
Humphrey Marlon Humphrey,BAL,CB,2015,97.5,40.324566
Stanley Ronnie Stanley,BAL,LT,2015,60.0,44.0
Jones Travis Jones,BAL,DL,2015,40.5,16.756889
Andrews Mark Andrews,BAL,TE,2015,39.267,20.944444
Bateman Rashod Bateman,BAL,WR,2015,36.75,16.5
Henry Derrick Henry,BAL,RB,2015,30.0,24.0
Starks Malaki Starks,BAL,S,2015,16.579658,16.579658
Washington Broderick Washington,BAL,DL,2015,15.75,10.0
Flowers Zay Flowers,BAL,WR,2015,14.036434,14.036434
Linderbaum Tyler Linderbaum,BAL,C,2015,13.238286,13.238286
Wiggins Nate Wiggins,BAL,CB,2015,12.819822,12.819822
Gilman Alohi Gilman,BAL,S,2015,10.125,5.625
Van Noy Kyle Van Noy,BAL,ED,2015,9.0,5.25
Jones Dre'Mont Jones,BAL,DL,2015,8.5,7.99
Ojabo David Ojabo,BAL,DL,2015,7.909121,4.696593
Green Mike Green,BAL,DL,2015,7.419415,4.871004
Rosengarten Roger Rosengarten,BAL,RT,2015,6.437314,3.384289
Jones Jr. Emery Jones Jr.,BAL,G,2015,6.27352,1.20256
Rush Cooper Rush,BAL,QB,2015,6.2,4.0
Hill Justice Hill,BAL,RB,2015,6.0,4.218954
Isaac Adisa Isaac,BAL,ED,2015,5.648034,0.92766
Simpson Trenton Simpson,BAL,LB,2015,5.408845,0.930548
Buchanan Teddye Buchanan,BAL,LB,2015,5.102896,0.902896
Hopkins DeAndre Hopkins,BAL,WR,2015,5.0,5.0
Walker Devontez Walker,BAL,WR,2015,4.817852,0.797852
Tampa T.J. Tampa,BAL,CB,2015,4.718456,0.698456
Vinson Carson Vinson,BAL,T,2015,4.669596,0.469596
Robinson Tavius Robinson,BAL,ED,2015,4.560564,0.720564
Kone Bilhal Kone,BAL,CB,2015,4.477144,0.277144
Faalele Daniel Faalele,BAL,RT,2015,4.460339,0.80034
Loop Tyler Loop,BAL,K,2015,4.444772,0.244772
Wester LaJohntay Wester,BAL,WR,2015,4.414868,0.214868
Peebles Aeneas Peebles,BAL,DL,2015,4.37428,0.17428
Longerbeam Robert Longerbeam,BAL,CB,2015,4.37428,0.17428
Kolar Charlie Kolar,BAL,TE,2015,4.364884,0.704884
Stout Jordan Stout,BAL,P,2015,4.357836,0.697836
Ali Rasheen Ali,BAL,RB,2015,4.309868,0.289868
Likely Isaiah Likely,BAL,TE,2015,4.16434,0.50434
Vorhees Andrew Vorhees,BAL,G,2015,3.942112,0.102112
Washington Ar'Darius Washington,BAL,S,2015,3.263,0.0
Higgins Jay Higgins,BAL,LB,2015,2.985,0.03
Martin Keyon Martin,BAL,S,2015,2.965,0.0
Ricard Patrick Ricard,BAL,FB,2015,2.8725,0.1675
Mitchell Keaton Mitchell,BAL,RB,2015,2.713,0.073
Wallace Tylan Wallace,BAL,WR,2015,2.1,1.35
Noteboom Joseph Noteboom,BAL,LT,2015,2.0,2.0
Jenkins John Jenkins,BAL,DL,2015,1.95,0.345
Jackson Keondre Jackson,BAL,S,2015,1.845,0.0
Harty Deonte Harty,BAL,WR,2015,1.2925,1.1525
Bryan Taven Bryan,BAL,DL,2015,1.255,0.0
Awuzie Chidobe Awuzie,BAL,CB,2015,1.255,0.0
Urban Brent Urban,BAL,DL,2015,1.255,0.0
Oruwariye Amani Oruwariye,BAL,CB,2015,1.215,0.0
Hummel Jake Hummel,BAL,LB,2015,1.2,0.1
Huntley Tyler Huntley,BAL,QB,2015,1.17,0.0
Mullen Trayvon Mullen,BAL,CB,2015,1.125,0.0
Scott Lucas Scott,BAL,T,2015,0.885,0.0
Rucker Kaimon Rucker,BAL,ED,2015,0.885,0.0
Robinson Marquise Robinson,BAL,CB,2015,0.885,0.0
Penning Jared Penning,BAL,G,2015,0.885,0.0
Olajiga David Olajiga,BAL,DL,2015,0.885,0.0
Johnson Cornelius Johnson,BAL,WR,2015,0.885,0.0
Christian-Lichtenhan Gerad Christian-Lichtenhan,BAL,T,2015,0.885,0.0
Wade Dayton Wade,BAL,WR,2015,0.84,0.0
Okoye Basil Okoye,BAL,DL,2015,0.84,0.0
Jones Jr. Carl Jones Jr.,BAL,ED,2015,0.84,0.0
Bullock Corey Bullock,BAL,C,2015,0.84,0.0
Moore Nick Moore,BAL,LS,2015,0.0,2.476111
Allen Josh Allen,BUF,QB,2015,330.0,147.0
Rousseau Greg Rousseau,BUF,ED,2015,80.0,38.797
Brown Spencer Brown,BUF,RT,2015,72.0,19.855
Benford Christian Benford,BUF,CB,2015,69.0,18.85
Oliver Ed Oliver,BUF,DL,2015,68.0,24.528
Dawkins Dion Dawkins,BUF,LT,2015,60.06,30.205
Shakir Khalil Shakir,BUF,WR,2015,53.058,18.1
Cook James Cook,BUF,RB,2015,46.0,15.28
Bernard Terrel Bernard,BUF,LB,2015,42.143,14.1
Johnson Taron Johnson,BUF,CB,2015,30.75,17.825
Knox Dawson Knox,BUF,TE,2015,29.5,12.75
Palmer Josh Palmer,BUF,WR,2015,29.0,15.0
Samuel Curtis Samuel,BUF,WR,2015,24.0,14.02
McGovern Connor McGovern,BUF,C,2015,22.35,9.9
Hoecht Michael Hoecht,BUF,LB,2015,21.0,13.43
Bass Tyler Bass,BUF,K,2015,20.4,9.41
Jones DaQuan Jones,BUF,DL,2015,16.0,10.5
Hairston Maxwell Hairston,BUF,CB,2015,15.257982,15.257982
Kincaid Dalton Kincaid,BUF,TE,2015,13.427023,13.427023
Bosa Joey Bosa,BUF,LB,2015,12.61,12.0
Epenesa A.J. Epenesa,BUF,ED,2015,12.0,6.56
Sanders T.J. Sanders,BUF,DL,2015,10.720408,10.072496
Rapp Taylor Rapp,BUF,S,2015,10.625,3.675
Coleman Keon Coleman,BUF,WR,2015,10.074258,9.640505
Ogunjobi Larry Ogunjobi,BUF,ED,2015,6.696735,5.426735
Jackson Landon Jackson,BUF,ED,2015,6.618982,1.453804
Bishop Cole Bishop,BUF,S,2015,6.547996,3.469816
Ferguson Reid Ferguson,BUF,LS,2015,6.5,2.365
Milano Matt Milano,BUF,LB,2015,6.3065,5.631
Torrence O'Cyrus Torrence,BUF,G,2015,6.220978,3.30712
Edwards David Edwards,BUF,G,2015,6.0,2.95
Carter DeWayne Carter,BUF,DL,2015,5.618048,0.905852
Williams Dorian Williams,BUF,LB,2015,5.472806,0.914768
Trubisky Mitchell Trubisky,BUF,QB,2015,5.25,2.71
Walker Deone Walker,BUF,DL,2015,5.24704,1.04704
Johnson Ty Johnson,BUF,RB,2015,5.0,1.49
Davis Ray Davis,BUF,RB,2015,4.733188,0.713188
Hancock Jordan Hancock,BUF,CB,2015,4.520216,0.320216
Hawes Jackson Hawes,BUF,TE,2015,4.520216,0.320216
Strong Dorian Strong,BUF,CB,2015,4.485356,0.285356
Lundt Chase Lundt,BUF,T,2015,4.404924,0.204924
Van Pran-Granger Sedrick Van Pran-Granger,BUF,C,2015,4.375252,0.355252
Solomon Javon Solomon,BUF,ED,2015,4.274276,0.254276
Grable Tylan Grable,BUF,LT,2015,4.189912,0.169912
Lewis Cam Lewis,BUF,CB,2015,3.1,1.55
White Tre'Davious White,BUF,CB,2015,3.0,2.2
Owens Wande Owens,BUF,S,2015,2.99,0.06
Latu Keleki Latu,BUF,TE,2015,2.965,0.0
Andreessen Joe Andreessen,BUF,LB,2015,2.8325,0.0025
Logue Zion Logue,BUF,DL,2015,2.272,0.007
Jones Jr. Andre Jones Jr.,BUF,ED,2015,2.265,0.0
Jenkins Keonta Jenkins,BUF,LB,2015,2.131,0.006
Shavers Tyrell Shavers,BUF,WR,2015,2.042,0.007
Gilliam Reggie Gilliam,BUF,FB,2015,2.0,2.0
Hamlin Damar Hamlin,BUF,S,2015,2.0,2.0
Clayton Travis Clayton,BUF,T,2015,1.9435,0.0085
Gosnell Stephen Gosnell,BUF,WR,2015,1.9435,0.0085
Akingbesote Tommy Akingbesote,BUF,DL,2015,1.94,0.005
Couch Te'Cory Couch,BUF,CB,2015,1.9395,0.0045
Ciarlo Jimmy Ciarlo,BUF,LB,2015,1.9385,0.0035
Devonshire MJ Devonshire,BUF,CB,2015,1.9365,0.0015
Trujillo Maddux Trujillo,BUF,K,2015,1.935,0.0
Gore Jr. Frank Gore Jr.,BUF,RB,2015,1.935,0.0
Porter Daryl Porter,BUF,S,2015,1.935,0.0
Hardman Mecole Hardman,BUF,WR,2015,1.325,0.0
Jackson Dane Jackson,BUF,CB,2015,1.31,0.095
Phillips Jordan Phillips,BUF,DL,2015,1.255,0.0
Prater Matt Prater,BUF,K,2015,1.255,0.0
Poyer Jordan Poyer,BUF,S,2015,1.255,0.0
Cooks Brandin Cooks,BUF,WR,2015,1.255,0.0
Thompson Shaq Thompson,BUF,LB,2015,1.255,0.0
Franklin Sam Franklin,BUF,S,2015,1.17,0.0
Savage Darnell Savage,BUF,S,2015,1.17,0.0
Wishnowsky Mitch Wishnowsky,BUF,P,2015,1.17,0.0
Davis Gabriel Davis,BUF,WR,2015,1.17,0.0
Broeker Nick Broeker,BUF,G,2015,1.08,0.005
Van Demark Ryan Van Demark,BUF,LT,2015,1.03,0.0
Anderson Alec Anderson,BUF,G,2015,1.03,0.0
Mathis Phidarian Mathis,BUF,DL,2015,1.03,0.0
Horn Jaycee Horn,CAR,CB,2015,100.0,46.707
Hunt Robert Hunt,CAR,G,2015,100.0,44.0
Brown Derrick Brown,CAR,DL,2015,96.0,41.165
Lewis Damien Lewis,CAR,G,2015,53.0,26.215
Moehrig Trevon Moehrig,CAR,S,2015,51.0,34.5
Wharton Tershawn Wharton,CAR,DL,2015,45.05,30.25
Moton Taylor Moton,CAR,RT,2015,44.0,36.8
Young Bryce Young,CAR,QB,2015,37.955071,37.955071
Hubbard Chuba Hubbard,CAR,RB,2015,33.2,11.958
McMillan Tet McMillan,CAR,WR,2015,27.93039,27.93039
Ekwonu Ikem Ekwonu,CAR,LT,2015,27.568052,27.568052
Robinson A'Shawn Robinson,CAR,DL,2015,22.5,7.29
Brown Bobby Brown,CAR,DL,2015,21.0,9.575
Jones Patrick Jones,CAR,ED,2015,15.0,10.25
Wonnum D.J. Wonnum,CAR,ED,2015,12.5,1.25
Legette Xavier Legette,CAR,WR,2015,12.357176,12.357176
Jackson Michael Jackson,CAR,CB,2015,10.5,5.7
Tremble Tommy Tremble,CAR,TE,2015,10.5,6.0
Scourton Nic Scourton,CAR,DL,2015,8.614236,6.660008
Brooks Jonathon Brooks,CAR,RB,2015,8.417082,6.240268
Dalton Andy Dalton,CAR,QB,2015,8.0,5.9
Nijman Yosh Nijman,CAR,RT,2015,8.0,3.96
Umanmielen Princely Umanmielen,CAR,DL,2015,6.350542,1.367668
Wallace Trevin Wallace,CAR,LB,2015,5.959836,1.154424
Etienne Trevor Etienne,CAR,RB,2015,5.208744,1.008744
Ransom Lathan Ransom,CAR,S,2015,5.157116,0.957116
Sanders Ja'Tavion Sanders,CAR,TE,2015,4.894236,0.874236
Jackson Cam Jackson,CAR,DL,2015,4.673156,0.473156
Zavala Chandler Zavala,CAR,G,2015,4.611736,0.771736
Evans Mitchell Evans,CAR,TE,2015,4.590968,0.390968
Mathis Damarri Mathis,CAR,CB,2015,4.438964,0.778964
Evans Akayleb Evans,CAR,CB,2015,4.421076,0.761076
Horn Jr. Jimmy Horn Jr.,CAR,WR,2015,4.39544,0.19544
Smith-Wade Chau Smith-Wade,CAR,CB,2015,4.343984,0.323984
Mays Cade Mays,CAR,G,2015,3.406,0.0
Corbett Austin Corbett,CAR,C,2015,3.0,2.0
Fitzgerald Ryan Fitzgerald,CAR,K,2015,2.98,0.145
Martin-Scott Bam Martin-Scott,CAR,LB,2015,2.98,0.3
Thornton Corey Thornton,CAR,CB,2015,2.975,0.15
Aumavae Popo Aumavae,CAR,DL,2015,2.845,0.055
Christensen Brady Christensen,CAR,C,2015,2.7875,2.7875
Dowdle Rico Dowdle,CAR,RB,2015,2.75,2.75
