rank,player_name,team,position,total_contract_value,total_contract_value_millions,year
390,Derek Barnett,PHI,ED,"$4,088,882",4.088882,2020
391,Romeo Okwara,DET,ED,"$4,076,666",4.076666,2020
392,Alvin Kamara,NO,RB,"$4,076,193",4.076193,2020
393,Bradley McDougald,NYJ,SS,"$4,068,750",4.06875,2020
394,Janoris Jenkins,NO,CB,"$4,050,000",4.05,2020
395,Latavius Murray,NO,RB,"$4,050,000",4.05,2020
396,Jason Peters,PHI,LT,"$4,050,000",4.05,2020
397,Vita Vea,TB,DL/DT,"$4,042,974",4.042974,2020
398,Malik Hooker,IND,FS,"$4,009,063",4.009063,2020
399,Kareem Hunt,CLE,RB,"$4,009,000",4.009,2020
400,Jonah Williams,CIN,LT,"$4,006,856",4.006856,2020
401,Mason Crosby,GB,K,"$4,000,000",4.0,2020
402,Austin Hooper,CLE,TE,"$4,000,000",4.0,2020
403,Abry Jones,JAX,DL,"$4,000,000",4.0,2020
404,A.J. McCarron,HOU,QB,"$4,000,000",4.0,2020
405,Jalen Mills,PHI,SS,"$4,000,000",4.0,2020
406,Jordan Phillips,ARI,DL/DT,"$4,000,000",4.0,2020
407,Duke Johnson,HOU,RB,"$3,975,000",3.975,2020
408,John Miller,CAR,G,"$3,970,000",3.97,2020
409,Chase Roullier,WAS,C,"$3,969,792",3.969792,2020
410,Mackensie Alexander,CIN,CB,"$3,953,125",3.953125,2020
411,Jordan Jenkins,NYJ,ED,"$3,937,500",3.9375,2020
412,Josh Lambo,JAX,K,"$3,937,500",3.9375,2020
413,Jimmie Ward,SF,FS,"$3,937,500",3.9375,2020
414,Daron Payne,WAS,DL/DT,"$3,932,280",3.93228,2020
415,Austin Blythe,LAR,G,"$3,900,000",3.9,2020
416,Matt Prater,DET,K,"$3,900,000",3.9,2020
417,Joe Mixon,CIN,RB,"$3,850,943",3.850943,2020
418,Michael Brockers,LAR,DL,"$3,833,333",3.833333,2020
419,Vance McDonald,PIT,TE,"$3,827,500",3.8275,2020
420,Malcolm Jenkins,NO,FS,"$3,800,000",3.8,2020
421,Budda Baker,ARI,S,"$3,776,820",3.77682,2020
422,Austin Reiter,KC,C,"$3,758,334",3.758334,2020
423,Isaiah Simmons,ARI,LB/ILB,"$3,757,101",3.757101,2020
424,Thomas Davis,WAS,LB,"$3,750,000",3.75,2020
425,Eddie Goldman,CHI,DL/DT,"$3,750,000",3.75,2020
426,Xavier Rhodes,IND,CB,"$3,750,000",3.75,2020
427,Jimmy Smith,BAL,CB,"$3,750,000",3.75,2020
428,Marcus Davenport,NO,ED,"$3,747,789",3.747789,2020
429,Chris Conley,JAX,WR,"$3,745,000",3.745,2020
430,C.J. Henderson,JAX,CB,"$3,730,186",3.730186,2020
431,Eddie Jackson,CHI,FS,"$3,716,450",3.71645,2020
432,Sheldon Rankins,NO,DL/DT,"$3,690,000",3.69,2020
433,Jonathan Allen,WAS,DL/DT,"$3,689,756",3.689756,2020
434,Kolton Miller,LV,LT,"$3,673,997",3.673997,2020
435,Terrance Mitchell,CLE,CB,"$3,666,668",3.666668,2020
436,Cory Littleton,LV,LB,"$3,665,500",3.6655,2020
437,Markus Golden,ARI,ED,"$3,651,319",3.651319,2020
438,Tyson Alualu,PIT,DL,"$3,625,000",3.625,2020
439,Jalen Richard,LV,RB,"$3,625,000",3.625,2020
440,Rodney Gunter,JAX,DL,"$3,619,792",3.619792,2020
441,Rashan Gary,GB,ED/OLB,"$3,608,480",3.60848,2020
442,Jeff Heath,LV,SS,"$3,600,000",3.6,2020
443,Jason Myers,SEA,K,"$3,600,000",3.6,2020
444,Andrus Peat,NO,G,"$3,600,000",3.6,2020
445,Jamal Adams,SEA,SS,"$3,590,292",3.590292,2020
446,Adoree' Jackson,TEN,CB,"$3,589,977",3.589977,2020
447,Dennis Kelly,TEN,RT,"$3,583,333",3.583333,2020
448,Jedrick Wills,CLE,LT,"$3,582,348",3.582348,2020
449,David Mayo,NYG,LB,"$3,550,000",3.55,2020
450,O.J. Howard,TB,TE,"$3,530,107",3.530107,2020
451,Christian Wilkins,MIA,DL/DT,"$3,508,886",3.508886,2020
452,Eric Ebron,PIT,TE,"$3,500,000",3.5,2020
453,Darren Fells,HOU,TE,"$3,500,000",3.5,2020
454,Virgil Green,LAC,TE,"$3,500,000",3.5,2020
