team,year,active_cap_millions,dead_money_millions,total_cap_millions,cap_space_millions,dead_cap_pct
SF,2023,154.932685,33.313374,199.530464,37.989804,16.7
CLE,2023,136.190604,23.468987,221.895525,29.876309,10.58
CIN,2023,155.73522,4.45155,200.698869,25.909867,2.22
WAS,2023,133.719895,47.623965,219.158252,12.093648,21.73
LV,2023,155.882148,57.853191,223.471769,11.529499,25.89
ARI,2023,107.33042,69.784194,218.131324,11.168217,31.99
DAL,2023,185.500694,20.451431,222.101883,10.801968,9.21
TEN,2023,128.983277,58.841771,221.49031,9.408724,26.57
MIN,2023,122.035441,46.177305,212.737877,8.959126,21.71
JAX,2023,194.030338,10.665516,217.779453,8.947864,4.9
GB,2023,120.689913,67.234462,218.045716,8.737004,30.84
IND,2023,150.648067,51.41829,223.87332,8.299055,22.97
LAC,2023,132.544014,27.385531,218.514926,8.006038,12.53
ATL,2023,163.895473,25.64979,222.63943,7.730237,11.52
LAR,2023,131.880407,79.381937,217.174558,7.693754,36.55
SEA,2023,165.99077,23.39738,214.977978,7.127512,10.88
NYG,2023,129.927472,56.451152,223.438031,6.182522,25.26
NYJ,2023,143.977333,29.031325,222.545781,6.034929,13.05
CAR,2023,136.455085,62.169404,232.771942,5.37999,26.71
CHI,2023,171.0872,36.737468,227.512044,4.926812,16.15
HOU,2023,142.196787,47.419666,226.978543,4.441532,20.89
DET,2023,173.331167,32.092641,223.408752,3.80095,14.36
TB,2023,128.436935,81.574757,223.680759,3.752054,36.47
NO,2023,138.02729,35.175167,220.525665,3.635502,15.95
PIT,2023,194.442075,21.164554,226.30054,2.926605,9.35
KC,2023,194.829168,12.295967,217.621452,2.826341,5.65
PHI,2023,160.037713,63.868823,232.187112,2.566558,27.51
MIA,2023,172.821528,20.351028,223.975605,1.73599,9.09
DEN,2023,173.358141,33.296145,231.774113,1.129738,14.37
BAL,2023,175.622212,15.901398,222.562171,1.049714,7.14
NE,2023,122.696951,31.235322,221.851422,0.528826,14.08
BUF,2023,182.016009,10.167412,228.637476,-0.792453,4.45
