team,year,active_cap_millions,dead_money_millions,total_cap_millions,cap_space_millions,dead_cap_pct
SF,2024,138.201567,30.44206,246.996749,50.467685,12.32
CLE,2024,130.535406,42.497245,248.708856,42.043123,17.09
NE,2024,130.005536,60.985272,229.603859,36.456118,26.56
LV,2024,111.412545,50.30779,226.100229,35.897151,22.25
CIN,2024,165.575296,13.021226,239.15516,26.260528,5.44
WAS,2024,186.228005,47.227012,240.632456,24.017815,19.63
DET,2024,151.659745,39.256611,234.43484,23.638724,16.75
DAL,2024,97.50083,29.661014,240.414997,20.050038,12.34
MIA,2024,138.344211,58.059677,238.318281,18.415532,24.36
JAX,2024,142.873539,53.636487,252.087967,16.949079,21.28
GB,2024,154.5424,64.574213,251.586978,16.128199,25.67
TEN,2024,142.042127,67.461884,245.1747,15.492667,27.52
ARI,2024,164.853997,32.162678,257.559198,12.943763,12.49
IND,2024,199.356329,15.608803,250.316091,10.423917,6.24
MIN,2024,164.432512,70.382084,252.563267,10.173975,27.87
PIT,2024,182.613866,30.733672,247.812491,9.927701,12.4
PHI,2024,168.53731,63.634011,250.867,9.366359,25.37
TB,2024,139.250589,62.499171,244.479945,8.459981,25.56
SEA,2024,170.968666,58.377484,253.363041,8.131185,23.04
ATL,2024,219.83648,15.187366,253.560025,6.461421,5.99
DEN,2024,150.535729,89.083362,252.139493,6.100773,35.33
HOU,2024,180.926822,41.631992,253.606601,5.762155,16.42
CHI,2024,204.948258,30.383725,254.719369,5.419854,11.93
LAC,2024,183.462767,60.901604,259.842566,3.935185,23.44
LAR,2024,209.44679,35.85475,254.604834,3.09745,14.08
NO,2024,146.456092,62.18773,255.445276,2.952943,24.34
NYJ,2024,156.86892,62.318333,258.555103,2.526155,24.1
KC,2024,220.972465,17.019007,250.025386,2.167701,6.81
BAL,2024,219.43258,23.109416,251.86961,1.890784,9.18
NYG,2024,116.951522,82.521697,258.881814,1.520288,31.88
BUF,2024,175.108383,75.053004,256.067245,0.552172,29.31
CAR,2024,147.773587,73.242553,261.525112,-1.024039,28.01
