rank,player_name,team,position,total_contract_value,total_contract_value_millions,year
1,Ryan Tannehill,TEN,QB,"$38,600,000",38.6,2022
2,Patrick Mahomes,KC,QB,"$35,793,381",35.793381,2022
3,Kirk Cousins,MIN,QB,"$31,416,668",31.416668,2022
4,Jared Goff,DET,QB,"$31,150,000",31.15,2022
5,Chris Jones,KC,DL/DT,"$29,415,667",29.415667,2022
6,Aaron Rodgers,GB,QB,"$28,533,569",28.533569,2022
7,Carson Wentz,WAS,QB,"$28,294,119",28.294119,2022
8,Joey Bosa,LAC,ED/OLB,"$28,250,000",28.25,2022
9,Aaron Donald,LAR,DL/DT,"$27,000,000",27.0,2022
10,T.J. Watt,PIT,ED/OLB,"$24,368,694",24.368694,2022
11,Jalen Ramsey,LAR,CB,"$23,200,000",23.2,2022
12,Lamar Jackson,BAL,QB,"$23,016,000",23.016,2022
13,Kenny Golladay,NYG,WR,"$21,150,000",21.15,2022
14,Garett Bolles,DEN,LT,"$21,000,000",21.0,2022
15,Dak Prescott,DAL,QB,"$19,730,000",19.73,2022
16,Derek Carr,LV,QB,"$19,375,000",19.375,2022
17,Keenan Allen,LAC,WR,"$19,200,000",19.2,2022
18,Bud Dupree,TEN,ED/OLB,"$19,200,000",19.2,2022
19,Sam Darnold,CAR,QB,"$18,858,000",18.858,2022
20,Justin Simmons,DEN,FS,"$18,850,000",18.85,2022
21,Matt Ryan,IND,QB,"$18,705,882",18.705882,2022
22,Donovan Smith,TB,LT,"$18,400,000",18.4,2022
23,Ezekiel Elliott,DAL,RB,"$18,220,000",18.22,2022
24,Javon Hargrave,PHI,DL/DT,"$17,802,000",17.802,2022
25,Cooper Kupp,LAR,WR,"$17,800,000",17.8,2022
26,Laremy Tunsil,HOU,LT,"$17,707,988",17.707988,2022
27,Tyron Smith,DAL,LT,"$17,505,000",17.505,2022
28,Cameron Heyward,PIT,DL/DE,"$17,406,250",17.40625,2022
29,Russell Wilson,DEN,QB,"$17,000,000",17.0,2022
30,Orlando Brown Jr.,KC,LT,"$16,662,000",16.662,2022
31,Jake Matthews,ATL,LT,"$16,589,200",16.5892,2022
32,Shaquill Griffin,JAX,CB,"$16,441,176",16.441176,2022
33,Josh Allen,BUF,QB,"$16,372,281",16.372281,2022
34,DeForest Buckner,IND,DL/DT,"$16,000,000",16.0,2022
35,J.J. Watt,ARI,DL/DE,"$15,900,000",15.9,2022
36,DeAndre Hopkins,ARI,WR,"$15,733,333",15.733333,2022
37,Marcus Peters,BAL,CB,"$15,500,000",15.5,2022
38,Leonard Williams,NYG,DL/DE,"$15,380,000",15.38,2022
39,Eddie Jackson,CHI,S,"$15,090,000",15.09,2022
40,Hunter Henry,NE,TE,"$15,000,000",15.0,2022
41,Nelson Agholor,NE,WR,"$14,882,345",14.882345,2022
42,Lavonte David,TB,LB/ILB,"$14,785,000",14.785,2022
43,Budda Baker,ARI,S,"$14,775,000",14.775,2022
44,Taylor Lewan,TEN,LT,"$14,693,971",14.693971,2022
45,Romeo Okwara,DET,ED/OLB,"$14,500,000",14.5,2022
46,Trey Hendrickson,CIN,ED/DE,"$14,488,235",14.488235,2022
47,Taylor Decker,DET,LT,"$14,400,000",14.4,2022
48,Matt Judon,NE,LB/OLB,"$14,285,555",14.285555,2022
49,Tre'Davious White,BUF,CB,"$14,175,004",14.175004,2022
50,DeMarcus Lawrence,DAL,DL/DE,"$14,000,000",14.0,2022
51,Mike Williams,LAC,WR,"$14,000,000",14.0,2022
52,Corey Davis,NYJ,WR,"$13,666,666",13.666666,2022
53,D.J. Reader,CIN,DL/DT,"$13,665,441",13.665441,2022
54,Eric Kendricks,MIN,LB/ILB,"$13,514,375",13.514375,2022
55,Matthew Stafford,LAR,QB,"$13,500,000",13.5,2022
56,David Bakhtiari,GB,LT,"$13,420,808",13.420808,2022
57,Frank Clark,KC,ED/DE,"$13,286,111",13.286111,2022
58,Michael Thomas,NO,WR,"$13,228,588",13.228588,2022
59,Shaq Thompson,CAR,LB/OLB,"$13,108,098",13.108098,2022
60,Yannick Ngakoue,IND,ED/DE,"$13,000,000",13.0,2022
61,Myles Garrett,CLE,ED/DE,"$12,961,000",12.961,2022
62,Jimmie Ward,SF,FS,"$12,935,576",12.935576,2022
63,Grady Jarrett,ATL,DL/DT,"$12,928,000",12.928,2022
64,Jessie Bates III,CIN,S,"$12,911,000",12.911,2022
65,Ronald Darby,DEN,CB,"$12,823,521",12.823521,2022
66,Tremaine Edmunds,BUF,LB/ILB,"$12,716,000",12.716,2022
67,Kyler Murray,ARI,QB,"$12,669,481",12.669481,2022
68,D.J. Humphries,ARI,LT,"$12,645,594",12.645594,2022
69,Jimmy Garoppolo,SF,QB,"$12,641,176",12.641176,2022
70,Curtis Samuel,WAS,WR,"$12,625,000",12.625,2022
71,Rodney Hudson,ARI,C,"$12,610,000",12.61,2022
72,John Franklin-Myers,NYJ,ED/DE,"$12,470,576",12.470576,2022
