rank,player_name,team,position,total_contract_value,total_contract_value_millions,year
1,Russell Wilson,SEA,QB,"$32,000,000",32.0,2021
2,Kirk Cousins,MIN,QB,"$31,166,666",31.166666,2021
3,Aaron Rodgers,GB,QB,"$27,073,568",27.073568,2021
4,Matt Ryan,ATL,QB,"$26,912,500",26.9125,2021
5,Jimmy Garoppolo,SF,QB,"$26,400,000",26.4,2021
6,Ben Roethlisberger,PIT,QB,"$25,910,000",25.91,2021
7,Frank Clark,KC,ED/DE,"$25,800,000",25.8,2021
8,DeMarcus Lawrence,DAL,ED/DE,"$25,000,000",25.0,2021
9,Derek Carr,LV,QB,"$22,125,000",22.125,2021
10,Amari Cooper,DAL,WR,"$22,000,000",22.0,2021
11,Carson Wentz,IND,QB,"$21,305,882",21.305882,2021
12,Grady Jarrett,ATL,DL/DT,"$20,833,000",20.833,2021
13,Joey Bosa,LAC,LB/OLB,"$20,750,000",20.75,2021
14,Chandler Jones,ARI,ED/OLB,"$20,176,388",20.176388,2021
15,Matthew Stafford,LAR,QB,"$20,000,000",20.0,2021
16,Trey Flowers,DET,LB/OLB,"$19,989,000",19.989,2021
17,D.J. Humphries,ARI,LT,"$19,930,000",19.93,2021
18,Tyrann Mathieu,KC,FS,"$19,733,334",19.733334,2021
19,Brandon Scherff,WAS,G,"$18,036,000",18.036,2021
20,Allen Robinson,CHI,WR,"$17,980,000",17.98,2021
21,Dak Prescott,DAL,QB,"$17,200,000",17.2,2021
22,Bobby Wagner,SEA,LB/ILB,"$17,150,000",17.15,2021
23,DeForest Buckner,IND,DL/DT,"$17,000,000",17.0,2021
24,Davante Adams,GB,WR,"$16,787,500",16.7875,2021
25,Landon Collins,WAS,SS,"$16,543,750",16.54375,2021
26,Byron Jones,MIA,CB,"$16,100,000",16.1,2021
27,Chris Godwin,TB,WR,"$15,983,000",15.983,2021
28,Deshaun Watson,HOU,QB,"$15,940,000",15.94,2021
29,Tyreek Hill,KC,WR,"$15,850,500",15.8505,2021
30,Trae Waynes,CIN,CB,"$15,800,000",15.8,2021
31,Keenan Allen,LAC,WR,"$15,700,000",15.7,2021
32,Mike Williams,LAC,WR,"$15,680,000",15.68,2021
33,Joe Haden,PIT,CB,"$15,575,000",15.575,2021
34,Kevin Byard,TEN,FS,"$15,038,000",15.038,2021
35,Andrew Norwell,JAX,G,"$15,000,000",15.0,2021
36,Jarvis Landry,CLE,WR,"$14,711,765",14.711765,2021
37,Khalil Mack,CHI,ED/OLB,"$14,646,000",14.646,2021
38,Za'Darius Smith,GB,ED/OLB,"$14,620,000",14.62,2021
39,Aaron Donald,LAR,DL/DT,"$14,392,000",14.392,2021
40,Carl Lawson,NYJ,DL/DE,"$14,333,333",14.333333,2021
41,Cam Robinson,JAX,LT,"$13,754,000",13.754,2021
42,D.J. Reader,CIN,DL/DT,"$13,562,500",13.5625,2021
43,Derrick Henry,TEN,RB,"$13,500,000",13.5,2021
44,Kolton Miller,LV,LT,"$13,469,333",13.469333,2021
45,Taylor Lewan,TEN,LT,"$13,393,971",13.393971,2021
