rank,player_name,team,position,total_contract_value,total_contract_value_millions,year
1,Matthew Stafford,DET,QB,"$30,700,000",30.7,2019
2,Aaron Rodgers,GB,QB,"$29,672,000",29.672,2019
3,Kirk Cousins,MIN,QB,"$29,000,000",29.0,2019
4,Russell Wilson,SEA,QB,"$26,286,668",26.286668,2019
5,Ben Roethlisberger,PIT,QB,"$26,200,000",26.2,2019
6,Von Miller,DEN,ED/OLB,"$25,125,000",25.125,2019
7,Eli Manning,NYG,QB,"$23,200,000",23.2,2019
8,Cam Newton,CAR,QB,"$23,200,000",23.2,2019
9,Philip Rivers,LAC,QB,"$23,000,000",23.0,2019
10,Drew Brees,NO,QB,"$22,700,000",22.7,2019
11,Derek Carr,OAK,QB,"$22,500,000",22.5,2019
12,Tom Brady,NE,QB,"$21,500,000",21.5,2019
13,Marcus Mariota,TEN,QB,"$20,922,000",20.922,2019
14,Jameis Winston,TB,QB,"$20,922,000",20.922,2019
15,Alex Smith,WAS,QB,"$20,400,000",20.4,2019
16,Jimmy Garoppolo,SF,QB,"$20,000,000",20.0,2019
17,Melvin Ingram,LAC,ED,"$19,625,000",19.625,2019
18,Sammy Watkins,KC,WR,"$19,200,000",19.2,2019
19,Kyle Fuller,CHI,CB,"$18,000,000",18.0,2019
20,Reshad Jones,MIA,SS,"$17,191,250",17.19125,2019
21,Aaron Donald,LAR,DL,"$17,108,000",17.108,2019
22,"Odell Beckham, Jr.",CLE,WR,"$17,000,000",17.0,2019
23,Andrew Whitworth,LAR,LT,"$16,659,168",16.659168,2019
24,Andy Dalton,CIN,QB,"$16,200,000",16.2,2019
25,Andrew Norwell,JAX,G,"$16,000,000",16.0,2019
26,Allen Robinson,CHI,WR,"$16,000,000",16.0,2019
27,Terron Armstead,NO,LT,"$15,968,750",15.96875,2019
28,Darius Slay,DET,CB,"$15,918,750",15.91875,2019
29,Jimmy Smith,BAL,CB,"$15,850,685",15.850685,2019
30,Bobby Wagner,SEA,LB/ILB,"$15,850,000",15.85,2019
31,Matt Ryan,ATL,QB,"$15,800,000",15.8,2019
32,Tyron Smith,DAL,LT,"$15,545,000",15.545,2019
33,Russell Okung,LAC,LT,"$15,531,250",15.53125,2019
34,Olivier Vernon,CLE,ED,"$15,500,000",15.5,2019
35,A.J. Bouye,JAX,CB,"$15,437,500",15.4375,2019
36,Brandin Cooks,LAR,WR,"$15,259,000",15.259,2019
37,Trenton Brown,OAK,RT,"$15,250,000",15.25,2019
38,Mike Evans,TB,WR,"$15,200,000",15.2,2019
39,A.J. Green,CIN,WR,"$15,176,000",15.176,2019
40,T.Y. Hilton,IND,WR,"$15,000,000",15.0,2019
41,J.J. Watt,HOU,DL,"$15,000,000",15.0,2019
42,Cameron Heyward,PIT,DL/DT,"$14,901,250",14.90125,2019
43,Chandler Jones,ARI,ED/OLB,"$14,833,333",14.833333,2019
44,Geno Atkins,CIN,DL,"$14,600,000",14.6,2019
45,Calais Campbell,JAX,ED/DE,"$14,500,000",14.5,2019
46,Joe Staley,SF,LT,"$14,418,750",14.41875,2019
47,Dee Ford,SF,ED,"$14,365,625",14.365625,2019
48,Josh Norman,WAS,CB,"$14,237,500",14.2375,2019
49,David Bakhtiari,GB,LT,"$14,200,000",14.2,2019
50,Brandon Williams,BAL,DL,"$14,170,000",14.17,2019
51,Jarvis Landry,CLE,WR,"$14,050,000",14.05,2019
52,DeAndre Hopkins,HOU,WR,"$14,000,000",14.0,2019
53,Justin Houston,IND,ED,"$14,000,000",14.0,2019
54,Zack Martin,DAL,G,"$14,000,000",14.0,2019
55,Richard Sherman,SF,CB,"$13,925,000",13.925,2019
56,Amari Cooper,DAL,WR,"$13,924,000",13.924,2019
57,Desmond Trufant,ATL,CB,"$13,900,000",13.9,2019
58,Ryan Kerrigan,WAS,ED,"$13,887,500",13.8875,2019
59,Danielle Hunter,MIN,ED/DE,"$13,500,000",13.5,2019
60,Devin McCourty,NE,FS,"$13,435,000",13.435,2019
