team,year,active_cap_millions,dead_money_millions,total_cap_millions,cap_space_millions,dead_cap_pct
JAX,2015,107.546334,9.582465,136.130404,32.355703,7.04
TEN,2015,90.472606,17.866172,128.662671,25.690907,13.89
CLE,2015,102.057621,7.054744,139.64756,22.11984,5.05
NYG,2015,78.69404,15.599806,128.321422,15.090461,12.16
OAK,2015,94.352516,16.688813,137.071838,14.800918,12.18
SF,2015,74.501722,29.0941,136.740459,13.115521,21.28
TB,2015,86.632966,25.305733,133.567282,11.342607,18.95
DAL,2015,80.128732,19.218914,137.816498,10.761815,13.95
ATL,2015,99.720594,22.469541,136.236065,10.01275,16.49
GB,2015,125.157906,5.436397,141.856037,9.615069,3.83
PHI,2015,123.88991,19.396358,150.325196,9.547182,12.9
IND,2015,108.214835,14.263153,143.402177,9.021215,9.95
CIN,2015,134.10076,4.848065,143.913511,8.216924,3.37
MIA,2015,90.566641,30.559418,144.878936,8.048001,21.09
BUF,2015,91.749336,13.643764,138.342172,7.731712,9.86
WAS,2015,97.790178,13.087081,139.789532,6.802213,9.36
PIT,2015,95.331909,20.143726,138.860441,5.198028,14.51
DEN,2015,134.668943,6.148288,145.098899,4.967125,4.24
KC,2015,104.438587,21.535333,141.444281,4.699919,15.23
CAR,2015,121.004274,15.374865,145.230447,4.14119,10.59
STL,2015,94.007833,11.478046,140.68689,3.986497,8.16
BAL,2015,65.521036,24.009341,141.21705,3.914077,17.0
ARI,2015,120.69134,12.809409,144.707976,3.80789,8.85
CHI,2015,89.976736,29.022282,141.512728,3.655706,20.51
HOU,2015,102.642525,17.423845,142.403116,3.62263,12.24
NE,2015,96.415003,19.484524,141.316422,3.261662,13.79
NYJ,2015,135.479685,8.25557,153.010332,3.139062,5.4
MIN,2015,118.160753,9.150229,147.022479,2.605481,6.22
SD,2015,91.395667,16.995532,140.814655,2.157957,12.07
NO,2015,93.560943,34.853706,143.214027,1.878403,24.34
DET,2015,107.062153,21.236686,143.215794,1.102197,14.83
SEA,2015,114.840985,19.635133,147.364599,0.893139,13.32
