rank,player_name,team,position,total_contract_value,total_contract_value_millions,year
1,Jimmy Garoppolo,SF,QB,"$37,000,000",37.0,2018
2,Matthew Stafford,DET,QB,"$26,500,000",26.5,2018
3,Derek Carr,OAK,QB,"$25,000,000",25.0,2018
4,Joe Flacco,BAL,QB,"$24,750,000",24.75,2018
5,Andrew Luck,IND,QB,"$24,400,000",24.4,2018
6,Drew Brees,NO,QB,"$24,000,000",24.0,2018
7,Kirk Cousins,MIN,QB,"$24,000,000",24.0,2018
8,Russell Wilson,SEA,QB,"$23,786,666",23.786666,2018
9,Ben Roethlisberger,PIT,QB,"$23,200,000",23.2,2018
10,Eli Manning,NYG,QB,"$22,200,000",22.2,2018
11,Tom Brady,NE,QB,"$22,000,000",22.0,2018
12,Philip Rivers,LAC,QB,"$22,000,000",22.0,2018
13,Cam Newton,CAR,QB,"$21,500,000",21.5,2018
14,Aaron Rodgers,GB,QB,"$20,900,000",20.9,2018
15,Justin Houston,KC,ED,"$20,600,000",20.6,2018
16,Alex Smith,WAS,QB,"$18,400,000",18.4,2018
17,Mike Evans,TB,WR,"$18,258,000",18.258,2018
18,Matt Ryan,ATL,QB,"$17,700,000",17.7,2018
19,Tyron Smith,DAL,LT,"$17,545,000",17.545,2018
20,Calais Campbell,JAX,ED/DE,"$17,500,000",17.5,2018
21,Ezekiel Ansah,DET,ED,"$17,143,000",17.143,2018
22,DeMarcus Lawrence,DAL,ED/DE,"$17,143,000",17.143,2018
23,Kawann Short,CAR,DL,"$17,000,000",17.0,2018
24,Olivier Vernon,NYG,LB,"$17,000,000",17.0,2018
25,Larry Fitzgerald,ARI,WR,"$16,850,000",16.85,2018
26,Josh Norman,WAS,CB,"$16,800,000",16.8,2018
27,Andy Dalton,CIN,QB,"$16,300,000",16.3,2018
28,Tyrod Taylor,CLE,QB,"$16,000,000",16.0,2018
29,Malik Jackson,JAX,DL,"$15,500,000",15.5,2018
30,Chandler Jones,ARI,DL/DE,"$15,500,000",15.5,2018
31,Jarvis Landry,CLE,WR,"$15,500,000",15.5,2018
32,A.J. Bouye,JAX,CB,"$15,406,250",15.40625,2018
33,Geno Atkins,CIN,DL,"$15,100,000",15.1,2018
34,Case Keenum,DEN,QB,"$15,000,000",15.0,2018
35,J.J. Watt,HOU,DL,"$15,000,000",15.0,2018
36,Russell Okung,LAC,LT,"$14,968,750",14.96875,2018
37,Patrick Peterson,ARI,CB,"$14,956,965",14.956965,2018
38,Jurrell Casey,TEN,DL,"$14,888,750",14.88875,2018
39,Ndamukong Suh,LAR,DL,"$14,500,000",14.5,2018
40,Cameron Jordan,NO,ED/DE,"$14,497,000",14.497,2018
41,DeAndre Hopkins,HOU,WR,"$14,000,000",14.0,2018
42,Eric Fisher,KC,LT,"$13,950,000",13.95,2018
43,Melvin Ingram,LAC,ED,"$13,875,000",13.875,2018
44,Khalil Mack,CHI,ED/OLB,"$13,800,000",13.8,2018
45,A.J. Green,CIN,WR,"$13,750,000",13.75,2018
46,Nick Foles,PHI,QB,"$13,600,000",13.6,2018
47,Bobby Wagner,SEA,LB/ILB,"$13,600,000",13.6,2018
48,Trent Williams,WAS,LT,"$13,579,005",13.579005,2018
49,Xavier Rhodes,MIN,CB,"$13,337,500",13.3375,2018
50,Jadeveon Clowney,HOU,ED/OLB,"$13,311,000",13.311,2018
51,Jimmy Smith,BAL,CB,"$13,233,040",13.23304,2018
52,Carlos Dunlap,CIN,ED,"$13,050,000",13.05,2018
53,Eric Berry,KC,SS,"$13,000,000",13.0,2018
54,T.Y. Hilton,IND,WR,"$13,000,000",13.0,2018
55,Desmond Trufant,ATL,CB,"$12,900,000",12.9,2018
56,Julio Jones,ATL,WR,"$12,866,667",12.866667,2018
57,Gerald McCoy,TB,DL,"$12,750,000",12.75,2018
58,Randall Cobb,GB,WR,"$12,531,250",12.53125,2018
59,Ryan Kalil,CAR,C,"$12,529,000",12.529,2018
60,Jason Pierre-Paul,TB,ED/DE,"$12,500,000",12.5,2018
61,Ryan Kerrigan,WAS,ED,"$12,450,000",12.45,2018
62,Jamie Collins,CLE,LB,"$12,400,000",12.4,2018
63,Kevin Zeitler,CLE,G,"$12,400,000",12.4,2018
64,Anthony Barr,MIN,LB,"$12,306,000",12.306,2018
65,Ryan Jensen,TB,C,"$12,000,000",12.0,2018
66,Devin McCourty,NE,FS,"$11,935,000",11.935,2018
67,Joe Haden,PIT,CB,"$11,916,666",11.916666,2018
68,Allen Robinson,CHI,WR,"$11,812,500",11.8125,2018
69,Doug Baldwin,SEA,WR,"$11,800,000",11.8,2018
70,Everson Griffen,MIN,ED/DE,"$11,600,000",11.6,2018
71,Robert Quinn,MIA,ED,"$11,444,412",11.444412,2018
72,Clay Matthews Jr.,GB,ED,"$11,400,000",11.4,2018
73,Riley Reiff,MIN,LT,"$11,400,000",11.4,2018
74,Fletcher Cox,PHI,DL,"$11,348,000",11.348,2018
75,LaMarcus Joyner,LAR,FS,"$11,287,000",11.287,2018
76,Cordy Glenn,CIN,LT,"$11,250,000",11.25,2018
77,Logan Ryan,TEN,CB,"$11,166,666",11.166666,2018
78,David Bakhtiari,GB,LT,"$11,075,000",11.075,2018
