team,year,active_cap_millions,dead_money_millions,total_cap_millions,cap_space_millions,dead_cap_pct
CLE,2018,142.452164,25.921273,181.948164,54.164796,14.25
IND,2018,116.290378,12.803242,144.247844,49.789659,8.88
SF,2018,99.114405,27.39969,199.312951,33.935479,13.75
TEN,2018,117.854426,13.200252,182.398711,25.140608,7.24
PIT,2018,130.326198,8.162296,161.685116,19.555944,5.05
NYJ,2018,109.047126,25.987196,176.796047,17.725853,14.7
HOU,2018,140.536221,15.491141,172.088725,15.060484,9.0
DAL,2018,121.164619,32.554792,173.99205,11.082724,18.71
BAL,2018,150.160923,14.60908,170.53163,9.943487,8.57
BUF,2018,104.008378,70.343254,179.596576,9.186883,39.17
CIN,2018,112.19597,9.127166,180.326765,8.456694,5.06
MIA,2018,123.506032,20.095019,170.25955,7.009611,11.8
NYG,2018,117.538663,43.897862,170.980782,6.584539,25.67
JAX,2018,140.722671,20.73762,198.533685,6.435054,10.45
PHI,2018,136.119127,14.907511,171.556674,6.157735,8.69
OAK,2018,115.252545,28.994233,178.870237,5.956643,16.21
WAS,2018,102.905158,14.621935,172.795336,5.889026,8.46
ARI,2018,107.921249,40.226555,172.915077,5.886709,23.26
DET,2018,109.575685,24.645116,175.496566,5.854745,14.04
DEN,2018,114.730854,26.980844,181.619996,5.788205,14.86
GB,2018,124.176442,14.982444,175.766368,5.36815,8.52
CHI,2018,151.948529,15.40326,179.461788,5.34707,8.58
ATL,2018,141.338061,9.172909,173.654866,4.666533,5.28
NE,2018,155.807993,10.991148,175.832665,4.379937,6.25
KC,2018,143.955068,22.862302,176.891845,2.908155,12.92
LAC,2018,144.473149,15.367556,177.28671,2.53534,8.67
SEA,2018,124.852499,22.740742,175.232879,2.514391,12.98
TB,2018,157.768609,11.163023,189.900886,2.494782,5.88
LAR,2018,158.606483,16.825476,179.876692,1.637802,9.35
NO,2018,138.92006,22.778103,176.019524,1.467541,12.94
CAR,2018,138.090418,12.588681,184.421777,-2.821461,6.83
MIN,2018,179.040838,7.11015,196.608422,-5.679219,3.62
