player_name_short,position,team_city,penalty_count,penalty_yards,year
C.Williams,G,Dallas,14,145,2021
O.Udoh,OL,Minnesota,13,114,2021
A.Leatherwood,T,Las Vegas,13,83,2021
J.Taylor,OL,Jacksonville,11,95,2021
A.Lucas,T,Seattle,10,50,2021
A.Jackson,OL,Miami,13,90,2021
J.Simpson,OL,Las Vegas,11,107,2021
T.Williams,OL,San Francisco,10,84,2021
D.Humphries,OL,Arizona,8,60,2021
B.Parker,OL,Las Vegas,10,67,2021
C.Okorafor,OL,Pittsburgh,8,38,2021
T.Diggs,DB,Dallas,9,75,2021
K.Beachum,OL,Arizona,10,70,2021
A.Villanueva,T,Baltimore,10,90,2021
P.Sewell,OL,Detroit,8,51,2021
L.Collins,T,Dallas,10,90,2021
J.Bosa,DL,LA Chargers,8,81,2021
A.Norwell,OL,Jacksonville,8,58,2021
D.Johnson,WR,Pittsburgh,9,55,2021
J.Ramsey,DB,LA Rams,6,62,2021
W.Teller,OL,Cleveland,9,89,2021
P.Brown,TE,Houston,9,72,2021
J.Jones,OL,Arizona,10,68,2021
T.Biadasz,OL,Dallas,9,61,2021
L.Sneed,DB,Kansas City,10,95,2021
F.Moreau,CB,Atlanta,7,87,2021
M.McDowell,DT,Cleveland,9,75,2021
L.Eichenberg,OL,Miami,7,44,2021
J.Norman,CB,San Francisco,7,95,2021
D.Smith,OL,Tampa Bay,7,53,2021
Tyr.Smith,OL,Dallas,7,65,2021
G.Bolles,OL,Denver,6,50,2021
D.Dawkins,OL,Buffalo,7,70,2021
I.Wynn,OL,New England,8,65,2021
M.Crosby,DL,Las Vegas,8,70,2021
D.Daley,G,Carolina,9,70,2021
I.Prince,OL,Cincinnati,6,49,2021
E.Apple,DB,Cincinnati,9,109,2021
E.Fisher,T,Indianapolis,6,35,2021
T.Smith,OL,Kansas City,9,84,2021
K.Green,OL,Pittsburgh,6,55,2021
C.Jones,DL,Kansas City,6,35,2021
L.Tomlinson,OL,San Francisco,8,54,2021
D.Barnett,DL,Philadelphia,8,62,2021
M.Davis,DB,LA Chargers,5,34,2021
J.Daniels,OL,Chicago,6,48,2021
W.Hernandez,G,N.Y. Giants,6,35,2021
N.Fant,TE,Denver,8,52,2021
T.Hockenson,TE,Detroit,6,40,2021
G.Bradbury,OL,Minnesota,5,45,2021
T.Howard,OL,Houston,7,55,2021
B.Murphy,DB,Arizona,7,52,2021
L.Wallace,CB,Buffalo,8,102,2021
A.Oruwariye,DB,Detroit,8,70,2021
C.Claypool,WR,Pittsburgh,8,83,2021
T.Steele,OL,Dallas,8,60,2021
J.Mayfield,OL,Atlanta,7,39,2021
M.Collins,DL,Houston,6,66,2021
J.Thuney,OL,Kansas City,7,50,2021
M.Judon,LB,New England,6,60,2021
W.Jackson,DB,Washington,7,103,2021
S.Brown,OL,Buffalo,7,56,2021
B.Facyson,DB,Las Vegas,8,79,2021
E.Griffen,DE,Minnesota,7,65,2021
L.Johnson,OL,Philadelphia,6,45,2021
J.Matthews,OL,Atlanta,7,50,2021
T.Kelce,TE,Kansas City,6,45,2021
T.Decker,OL,Detroit,6,40,2021
R.Gregory,DE,Dallas,7,43,2021
A.Whitworth,OL,LA Rams,5,55,2021
M.Humphrey,DB,Baltimore,7,54,2021
J.Poyer,DB,Buffalo,7,62,2021
K.Miller,OL,Las Vegas,5,30,2021
C.Davis,DB,Tampa Bay,7,72,2021
C.Sutton,WR,Denver,5,45,2021
S.Neal,DB,Buffalo,6,65,2021
N.Shepherd,DL,N.Y. Jets,7,50,2021
D.Metcalf,WR,Seattle,4,45,2021
D.Knox,TE,Buffalo,5,35,2021
E.McCoy,OL,New Orleans,7,55,2021
J.Mailata,OL,Philadelphia,7,55,2021
D.Jones,DL,Denver,6,60,2021
J.Jackson,OL,Detroit,7,56,2021
L.Floyd,LB,LA Rams,6,31,2021
R.Hunt,OL,Miami,6,40,2021
Ma.Wilson,DB,Arizona,6,79,2021
K.Zeitler,OL,Baltimore,7,55,2021
E.Sanders,WR,Buffalo,5,35,2021
T.Jenkins,OL,Chicago,6,40,2021
J.Clowney,DL,Cleveland,6,50,2021
O.Brown,OL,Kansas City,4,25,2021
A.Samuel,DB,LA Chargers,4,109,2021
P.Adebo,DB,New Orleans,6,76,2021
J.Jenkins,CB,Tennessee,6,60,2021
C.Heyward,DL,Pittsburgh,6,31,2021
B.Scherff,G,Washington,5,34,2021
R.Kelly,OL,Indianapolis,4,36,2021
T.White,DB,Buffalo,5,48,2021
M.Lattimore,DB,New Orleans,5,58,2021
R.Jensen,OL,Tampa Bay,4,45,2021
N.Solder,T,N.Y. Giants,4,30,2021
D.Jackson,DB,Carolina,6,82,2021
B.Smith,OL,Indianapolis,5,35,2021
A.Wylie,OL,Kansas City,5,40,2021
C.Goodwin,DB,Dallas,5,29,2021
F.Clark,DL,Kansas City,6,38,2021
U.Amadi,DB,Seattle,6,51,2021
J.Dean,DB,Tampa Bay,6,101,2021
S.Barrett,LB,Tampa Bay,6,35,2021
R.Saffold,G,Tennessee,5,35,2021
D.Edwards,OL,LA Rams,5,35,2021
J.Simmons,DL,Tennessee,5,49,2021
R.Fenton,DB,Kansas City,5,44,2021
Q.Williams,DL,N.Y. Jets,5,24,2021
A.James,OL,Las Vegas,6,55,2021
D.Williams,OL,Buffalo,6,39,2021
K.Vildor,DB,Chicago,4,57,2021
R.Quinn,LB,Chicago,4,30,2021
L.Cushenberry,OL,Denver,6,45,2021
C.Jackson,DB,Tennessee,5,31,2021
A.Green,WR,Arizona,5,36,2021
A.Ogletree,LB,Chicago,4,40,2021
T.Hill,OL,Cincinnati,5,36,2021
J.Carman,OL,Cincinnati,5,25,2021
M.Parsons,LB,Dallas,4,40,2021
G.Christian,OL,Houston,5,40,2021
M.Pryor,OL,Indianapolis,6,50,2021
R.Jenkins,DB,Jacksonville,6,83,2021
C.Manhertz,TE,Jacksonville,6,50,2021
C.Humphrey,OL,Kansas City,4,38,2021
C.Linsley,OL,LA Chargers,5,35,2021
M.Feiler,OL,LA Chargers,6,38,2021
J.Coleman,CB,Miami,5,44,2021
B.Breeland,CB,Minnesota,5,81,2021
J.Smith,TE,New England,5,40,2021
B.Echols,DB,N.Y. Jets,4,66,2021
S.Lawson,DE,N.Y. Jets,5,55,2021
A.Vera-Tucker,OL,N.Y. Jets,5,40,2021
D.Moore,OL,Pittsburgh,5,40,2021
R.Slater,OL,LA Chargers,6,45,2021
M.Ryan,QB,Atlanta,5,54,2021
H.Smith,DB,Minnesota,5,45,2021
J.Doyle,TE,Indianapolis,4,25,2021
M.Alexander,CB,Minnesota,5,57,2021
B.Jones,OL,Tennessee,4,30,2021
