player_name_short,position,team_city,penalty_count,penalty_yards,year
B.Browner,DB,Seattle,16,150,2011
S.Routt,CB,Oakland,17,167,2011
J.Webb,T,Chicago,13,82,2011
R.Clady,T,Denver,8,80,2011
J.Babin,DE,Philadelphia,9,57,2011
B.Bell,T,Carolina,10,80,2011
R.Seymour,DT,Oakland,11,95,2011
R.Grossman,QB,Washington,12,78,2011
J.Veldheer,T,Oakland,11,89,2011
A.Lucas,T,Seattle,8,45,2011
A.Smith,DE,Houston,10,60,2011
K.Barnes,T,Oakland,11,70,2011
C.Avril,DE,Detroit,10,86,2011
M.Oher,T,Baltimore,11,84,2011
J.Haden,DB,Cleveland,7,92,2011
P.Peterson,CB,Arizona,11,142,2011
B.Pettigrew,TE,Detroit,11,81,2011
C.Griffin,CB,Minnesota,6,63,2011
P.Loadholt,T,Minnesota,9,65,2011
D.Free,T,Dallas,10,75,2011
E.Manning,QB,N.Y. Giants,10,77,2011
S.Lauvao,G,Cleveland,8,60,2011
B.Albert,T,Kansas City,10,75,2011
W.Hunter,T,N.Y. Jets,10,70,2011
R.Sherman,CB,Seattle,9,69,2011
R.Saffold,G,St. Louis,9,56,2011
J.Backus,T,Detroit,6,45,2011
J.Clary,G,San Diego,8,65,2011
D.Florence,DB,Buffalo,8,93,2011
C.Snee,G,N.Y. Giants,6,45,2011
C.Woodson,FS,Green Bay,7,63,2011
E.Winston,T,Houston,7,54,2011
R.Okung,T,Seattle,7,45,2011
B.Giacomini,T,Seattle,7,47,2011
A.Green,WR,Cincinnati,5,35,2011
R.Incognito,C,Miami,7,80,2011
J.Zuttah,C,Tampa Bay,8,70,2011
R.Harper,SS,New Orleans,8,89,2011
M.McNeill,T,San Diego,8,50,2011
L.Mankins,G,New England,8,43,2011
M.Mulligan,TE,N.Y. Jets,9,63,2011
D.Ware,LB,Dallas,9,65,2011
B.Richardson,T,Kansas City,8,50,2011
A.Whitworth,T,Cincinnati,8,65,2011
T.Clabo,T,Atlanta,7,55,2011
R.White,WR,Atlanta,7,79,2011
I.Taylor,CB,Pittsburgh,8,99,2011
W.Rackley,G,Jacksonville,7,60,2011
H.Dahl,G,St. Louis,7,61,2011
R.Marshall,CB,Arizona,8,68,2011
J.Thomas,T,Cleveland,7,40,2011
D.Patterson,CB,Cleveland,8,65,2011
T.Kelly,DE,Oakland,7,45,2011
L.Houston,LB,Oakland,7,43,2011
E.Wright,DB,Detroit,7,84,2011
A.Wilson,SS,Arizona,5,51,2011
E.Griffen,DE,Minnesota,7,55,2011
J.Sitton,G,Green Bay,6,41,2011
