player_name_short,position,team_city,penalty_count,penalty_yards,year
D.Fairchild,OL,Cincinnati,6,45,2025
D.Burke,DB,Arizona,5,18,2025
D.Porter,DB,Las Vegas,4,53,2025
N.Williams,DB,Kansas City,6,51,2025
W.Johnson,DB,Arizona,6,50,2025
B.Hart,OL,LA Chargers,5,25,2025
T.Decker,OL,Detroit,4,20,2025
T.Watt,LB,Pittsburgh,5,44,2025
M.Humphrey,DB,Baltimore,3,25,2025
T.Moton,OL,Carolina,5,30,2025
M.Fitzpatrick,DB,Miami,4,73,2025
B.O'Neill,OL,Minnesota,5,30,2025
D.Lawrence,DL,N.Y. Giants,5,25,2025
T.Wirfs,OL,Tampa Bay,4,30,2025
C.Lamb,WR,Dallas,3,20,2025
C.McKivitz,OL,San Francisco,5,30,2025
O.Odighizuwa,DL,Dallas,3,25,2025
A.Anzalone,LB,Detroit,2,4,2025
A.Jackson,OL,LA Rams,4,30,2025
L.Dickerson,OL,Philadelphia,5,30,2025
T.McBride,TE,Arizona,5,55,2025
D.Alford,DB,Atlanta,4,58,2025
K.Hamilton,DB,Baltimore,4,30,2025
T.Linderbaum,OL,Baltimore,3,30,2025
D.Faalele,OL,Baltimore,3,20,2025
D.Hill,DB,Cincinnati,4,55,2025
C.Taylor-Britt,DB,Cincinnati,4,26,2025
S.Williams,DL,Dallas,4,24,2025
J.Ferguson,TE,Dallas,3,25,2025
K.Enagbare,DL,Green Bay,4,22,2025
T.McDuffie,DB,Kansas City,5,65,2025
J.Watson,DB,Kansas City,4,27,2025
D.Parham,OL,Las Vegas,5,40,2025
C.Olave,WR,New Orleans,3,15,2025
U.Nwosu,LB,Seattle,2,20,2025
B.Mafe,LB,Seattle,3,15,2025
C.Cross,OL,Seattle,5,28,2025
C.Otton,TE,Tampa Bay,5,30,2025
A.Billings,DL,Chicago,5,26,2025
H.Froholdt,OL,Arizona,3,30,2025
C.Omenihu,DL,Kansas City,5,55,2025
B.Aubrey,K,Dallas,4,0,2025
N.Herbig,LB,Pittsburgh,5,38,2025
J.Skinner,DB,Denver,5,53,2025
L.Wypler,OL,Cleveland,4,30,2025
B.Strange,TE,Jacksonville,5,25,2025
A.Bradford,OL,Seattle,5,40,2025
Z.Flowers,WR,Baltimore,3,30,2025
T.Stevenson,DB,Chicago,2,19,2025
Q.Martin,DB,Washington,2,30,2025
L.Williams,DL,Seattle,5,60,2025
Z.Ertz,TE,Washington,5,25,2025
J.McNichols,RB,Washington,3,15,2025
T.Tart,DL,LA Chargers,5,44,2025
J.Elliott,DL,San Francisco,4,16,2025
