player_name_short,position,team_city,penalty_count,penalty_yards,year
M.Moses,T,Washington,14,108,2018
J.Davenport,T,Houston,12,85,2018
C.Erving,T,Kansas City,12,95,2018
A.Lucas,T,Seattle,12,67,2018
J.Clowney,OLB,Houston,13,95,2018
D.Dawkins,OL,Buffalo,11,91,2018
B.Hart,T,Cincinnati,12,75,2018
L.Collins,T,Dallas,9,69,2018
T.Williams,T,Washington,8,63,2018
G.Bolles,OL,Denver,10,85,2018
M.Garrett,DL,Cleveland,9,47,2018
R.Alford,CB,Atlanta,8,82,2018
S.Nelson,CB,Kansas City,9,121,2018
N.Lawson,CB,Detroit,11,84,2018
G.Ifedi,T,Seattle,10,76,2018
A.Redmond,G,Cincinnati,11,104,2018
D.Harrison,T,Cleveland,8,70,2018
Q.Nelson,OL,Indianapolis,9,75,2018
R.Jensen,OL,Tampa Bay,11,120,2018
O.Scandrick,DB,Kansas City,8,63,2018
B.Parker,OL,Oakland,10,65,2018
G.Robinson,T,Cleveland,7,65,2018
M.Ingram,DE,LA Chargers,10,62,2018
D.Dotson,T,Tampa Bay,7,50,2018
E.Fisher,T,Kansas City,9,65,2018
B.Jones,CB,Dallas,9,93,2018
L.Tunsil,OL,Miami,8,62,2018
Tyr.Smith,OL,Dallas,10,85,2018
R.Gregory,DE,Dallas,9,97,2018
T.White,DB,Buffalo,6,48,2018
S.Gilmore,CB,New England,7,49,2018
P.Amukamara,CB,Chicago,8,90,2018
A.Witherspoon,CB,San Francisco,7,79,2018
D.Jackson,DB,Carolina,8,126,2018
B.Webb,DB,N.Y. Giants,9,128,2018
J.Jackson,DB,New England,9,102,2018
T.Brown,OL,New England,5,45,2018
M.Fitzpatrick,DB,Miami,10,152,2018
E.Apple,CB,New Orleans,8,101,2018
T.Carrie,DB,Cleveland,10,89,2018
J.Watt,DE,Houston,9,41,2018
J.Sweezy,OL,Seattle,8,79,2018
X.Rhodes,CB,Minnesota,6,84,2018
R.Schraeder,T,Atlanta,9,70,2018
T.Lewan,OL,Tennessee,8,83,2018
J.James,T,Miami,5,42,2018
