player_name_short,position,team_city,penalty_count,penalty_yards,year
J.Smith,CB,Baltimore,7,137,2015
C.Leno,T,Chicago,4,30,2015
A.Lucas,T,Seattle,5,30,2015
R.Okung,T,Seattle,6,35,2015
J.Thomas,T,Cleveland,6,35,2015
A.Green,WR,Cincinnati,4,30,2015
G.Olsen,TE,Carolina,6,50,2015
A.Rodgers,QB,Green Bay,6,36,2015
J.Harrison,OLB,Pittsburgh,6,42,2015
D.Bruton,SS,Denver,5,47,2015
R.Foster,G,Pittsburgh,5,40,2015
D.Thomas,WR,Denver,6,46,2015
B.Jones,C,Houston,6,35,2015
B.Carr,CB,Dallas,6,59,2015
M.Schwartz,T,Cleveland,4,24,2015
S.Gilmore,CB,Buffalo,5,37,2015
W.Hayes,DE,St. Louis,6,40,2015
D.Stephenson,T,Kansas City,4,26,2015
B.Brooks,G,Houston,6,45,2015
M.Cannon,OL,New England,4,25,2015
K.Vaccaro,SS,New Orleans,4,50,2015
T.Mathieu,FS,Arizona,5,40,2015
R.Woods,WR,Buffalo,4,49,2015
C.Palmer,QB,Arizona,6,44,2015
L.Ryan,CB,New England,5,36,2015
A.Barbre,T,Philadelphia,4,40,2015
D.Bates,LB,St. Louis,6,105,2015
C.Avril,DE,Seattle,5,42,2015
J.Wilcox,FS,Dallas,6,55,2015
D.Jones,DE,Green Bay,5,48,2015
R.Schraeder,T,Atlanta,6,50,2015
J.Kline,G,New England,6,50,2015
J.James,T,Miami,5,45,2015
D.Carr,QB,Oakland,6,35,2015
J.Ward,DB,San Francisco,4,19,2015
C.Graham,CB,Buffalo,4,50,2015
L.Toilolo,TE,Atlanta,5,50,2015
J.Ihedigbo,SS,Detroit,4,55,2015
A.Donald,DL,St. Louis,5,45,2015
R.Rodgers,TE,Green Bay,6,40,2015
A.Colvin,CB,Jacksonville,5,68,2015
J.Brown,CB,Indianapolis,5,61,2015
N.Foles,QB,St. Louis,5,31,2015
R.Darby,CB,Buffalo,4,20,2015
B.Marshall,WR,N.Y. Jets,6,35,2015
J.Reid,T,Kansas City,5,50,2015
