player_name_short,position,team_city,penalty_count,penalty_yards,year
Tyl.Smith,OL,Dallas,11,85,2022
L.Dickerson,OL,Philadelphia,13,89,2022
D.Smith,OL,Tampa Bay,12,100,2022
T.Brown,OL,New England,9,60,2022
I.Ekwonu,OL,Carolina,10,71,2022
D.Dawkins,OL,Buffalo,8,55,2022
R.Hunt,OL,Miami,10,70,2022
K.Dotson,OL,Pittsburgh,11,75,2022
K.Green,OL,Houston,7,64,2022
B.Smith,OL,Indianapolis,8,55,2022
A.Oruwariye,DB,Detroit,7,48,2022
J.Brendel,OL,San Francisco,9,65,2022
B.Christensen,OL,Carolina,9,70,2022
J.Eluemunor,OL,Las Vegas,11,78,2022
A.Wylie,OL,Kansas City,7,61,2022
M.McGlinchey,OL,San Francisco,8,55,2022
L.Tunsil,OL,Houston,10,65,2022
Y.Nijman,OL,Green Bay,6,49,2022
J.Wills,OL,Cleveland,8,65,2022
T.Williams,OL,San Francisco,6,28,2022
J.Conklin,OL,Cleveland,6,44,2022
P.Adebo,DB,New Orleans,7,73,2022
D.Moore,OL,Pittsburgh,9,65,2022
R.Saffold,OL,Buffalo,7,47,2022
B.Jones,OL,Chicago,8,55,2022
R.McCreary,DB,Tennessee,5,69,2022
Jo.Jones,DB,New England,7,89,2022
N.Bosa,DL,San Francisco,5,65,2022
I.Wynn,OL,New England,8,59,2022
D.Holmes,DB,N.Y. Giants,7,37,2022
P.Sewell,OL,Detroit,8,60,2022
D.King,DB,Houston,8,37,2022
M.Moses,OL,Baltimore,8,55,2022
L.Collins,OL,Cincinnati,7,54,2022
T.Walker,LB,Jacksonville,6,61,2022
T.Woolen,DB,Seattle,7,87,2022
C.Cross,OL,Seattle,9,60,2022
C.Ward,DB,San Francisco,5,26,2022
N.Petit-Frere,OL,Tennessee,8,45,2022
L.Johnson,OL,Philadelphia,5,30,2022
X.Howard,DB,Miami,6,29,2022
R.Havenstein,OL,LA Rams,5,35,2022
Z.Franklin,LB,Indianapolis,6,81,2022
D.Ward,DB,Cleveland,5,63,2022
D.Metcalf,WR,Seattle,7,80,2022
T.Howard,OL,Houston,5,25,2022
D.Greenlaw,LB,San Francisco,7,89,2022
J.Ramsey,DB,LA Rams,7,59,2022
M.Peters,DB,Baltimore,7,69,2022
G.Fant,OL,N.Y. Jets,8,64,2022
G.Glasgow,OL,Denver,7,51,2022
