player_name_short,position,team_city,penalty_count,penalty_yards,year
L.Tunsil,OL,Houston,17,95,2024
J.Taylor,OL,Kansas City,16,115,2024
T.Guyton,OL,Dallas,14,100,2024
S.Brown,OL,Buffalo,14,105,2024
J.Porter,DB,Pittsburgh,12,137,2024
G.Bolles,OL,Denver,12,100,2024
D.Dawkins,OL,Buffalo,16,111,2024
R.Stanley,OL,Baltimore,13,84,2024
P.Mekari,OL,Baltimore,11,90,2024
T.Penning,OL,New Orleans,11,135,2024
V.Lowe,OL,New England,11,76,2024
B.Smith,OL,Indianapolis,7,45,2024
S.Cosmi,OL,Washington,11,84,2024
I.Ekwonu,OL,Carolina,11,95,2024
M.Bergeron,OL,Atlanta,9,66,2024
M.Humphrey,DB,Baltimore,9,114,2024
Q.Nelson,OL,Indianapolis,11,63,2024
B.Brandel,OL,Minnesota,11,66,2024
J.Horn,DB,Carolina,8,65,2024
C.Taylor-Britt,DB,Cincinnati,9,86,2024
T.McDuffie,DB,Kansas City,6,56,2024
J.Williams,DB,Kansas City,10,95,2024
D.Reed,DB,N.Y. Jets,9,147,2024
W.Morris,OL,Kansas City,8,51,2024
D.Jacobs,OL,New England,11,75,2024
N.Wiggins,DB,Baltimore,9,105,2024
J.Powers-Johnson,OL,Las Vegas,11,77,2024
T.Arnold,DB,Detroit,11,167,2024
P.Surtain,DB,Denver,9,99,2024
K.Nixon,DB,Green Bay,10,74,2024
R.Walker,OL,Green Bay,9,75,2024
A.Gardner,DB,N.Y. Jets,9,83,2024
L.Goedeke,OL,Tampa Bay,9,60,2024
B.Jones,OL,Pittsburgh,8,74,2024
R.Douglas,DB,Buffalo,6,37,2024
J.Kinlaw,DL,N.Y. Jets,8,64,2024
T.Fuaga,OL,New Orleans,10,60,2024
J.Latham,OL,Tennessee,10,60,2024
B.Limmer,OL,LA Rams,9,75,2024
G.Barton,OL,Tampa Bay,8,69,2024
C.Robinson,OL,Minnesota,9,55,2024
E.Jenkins,OL,Green Bay,9,79,2024
T.Wirfs,OL,Tampa Bay,7,55,2024
M.Parsons,DL,Dallas,8,40,2024
T.Smith,OL,Kansas City,9,83,2024
L.Eichenberg,OL,Miami,8,60,2024
P.Adebo,DB,New Orleans,7,106,2024
L.Dickerson,OL,Philadelphia,7,55,2024
B.St-Juste,DB,Washington,8,84,2024
C.Cross,OL,Seattle,7,40,2024
N.Petit-Frere,OL,Tennessee,7,39,2024
H.Froholdt,OL,Arizona,8,63,2024
J.Hill,TE,Miami,9,60,2024
A.Bradford,OL,Seattle,9,66,2024
B.Branch,DB,Detroit,9,115,2024
J.Eluemunor,OL,N.Y. Giants,6,35,2024
S.Murphy-Bunting,DB,Arizona,7,108,2024
N.Igbinoghene,DB,Washington,8,77,2024
K.Fulton,DB,LA Chargers,5,47,2024
J.Brownlee,DB,Tennessee,8,57,2024
L.Johnson,OL,Philadelphia,8,49,2024
Ja.Matthews,OL,Atlanta,6,45,2024
G.Glasgow,OL,Detroit,6,50,2024
J.Bosa,DL,LA Chargers,7,35,2024
J.Mailata,OL,Philadelphia,5,30,2024
J.Brendel,OL,San Francisco,7,60,2024
O.Oweh,LB,Baltimore,8,48,2024
A.Jackson,OL,LA Rams,7,45,2024
M.Moses,OL,N.Y. Jets,6,35,2024
T.Linderbaum,OL,Baltimore,7,49,2024
C.Volson,OL,Cincinnati,6,55,2024
M.Emerson,DB,Cleveland,5,53,2024
T.Smith,OL,Dallas,4,40,2024
J.Ferguson,TE,Dallas,7,45,2024
J.McMillian,DB,Denver,8,70,2024
K.Enagbare,DL,Green Bay,6,48,2024
Z.Tom,OL,Green Bay,5,25,2024
Q.Lake,DB,LA Rams,6,67,2024
O.Brown,OL,Cincinnati,8,50,2024
J.Carter,DL,Philadelphia,7,45,2024
J.Jones,DB,Indianapolis,8,53,2024
D.Wright,OL,Chicago,6,30,2024
D.Jones,OL,Cleveland,8,44,2024
C.Davis,DB,Detroit,7,57,2024
N.Allegretti,OL,Washington,6,40,2024
B.Bredeson,OL,Tampa Bay,8,65,2024
A.Brewer,OL,Miami,6,55,2024
L.Watson,OL,Tennessee,7,50,2024
D.Glaze,OL,Las Vegas,8,68,2024
J.Alt,OL,LA Chargers,8,65,2024
C.Jones,DL,Kansas City,5,35,2024
K.Miller,OL,Las Vegas,5,34,2024
C.Lindstrom,OL,Atlanta,7,60,2024
D.Metcalf,WR,Seattle,5,49,2024
C.Lamb,WR,Dallas,7,50,2024
T.Steele,OL,Dallas,7,34,2024
A.Highsmith,LB,Pittsburgh,7,55,2024
R.Jones,OL,Miami,7,69,2024
D.Lenoir,DB,San Francisco,2,28,2024
B.Stephens,DB,Baltimore,7,83,2024
D.London,WR,Atlanta,7,80,2024
B.Jones,OL,Chicago,5,45,2024
N.Bonitto,LB,Denver,5,45,2024
S.Rhyan,OL,Green Bay,7,50,2024
M.Brown,DB,Jacksonville,7,91,2024
E.Neal,OL,N.Y. Giants,7,35,2024
T.Woolen,DB,Seattle,6,81,2024
Z.McCollum,DB,Tampa Bay,6,57,2024
H.Long,TE,LA Rams,6,45,2024
O.Torrence,OL,Buffalo,6,56,2024
P.Skoronski,OL,Tennessee,6,60,2024
L.Van Ness,DL,Green Bay,7,60,2024
K.Boyd,DB,Houston,7,78,2024
Z.Ertz,TE,Washington,7,41,2024
L.Patrick,OL,New Orleans,7,55,2024
Jo.Simpson,OL,N.Y. Jets,6,39,2024
D.Puni,OL,San Francisco,6,35,2024
J.Newton,DB,Cincinnati,6,55,2024
T.Reiman,TE,Arizona,6,35,2024
O.Fashanu,OL,N.Y. Jets,7,60,2024
C.Wallace,OL,New England,3,25,2024
K.Chaisson,LB,Las Vegas,4,32,2024
J.Bitonio,OL,Cleveland,6,45,2024
R.Havenstein,OL,LA Rams,5,30,2024
M.Garrett,DL,Cleveland,5,24,2024
F.Ragnow,OL,Detroit,6,50,2024
C.Goodwin,DB,Dallas,6,39,2024
M.Crosby,DL,Las Vegas,4,49,2024
J.Simmons,DL,Tennessee,6,50,2024
W.Teller,OL,Cleveland,5,39,2024
A.Jackson,OL,Miami,4,25,2024
N.Madubuike,DL,Baltimore,6,65,2024
D.Slay,DB,Philadelphia,3,20,2024
R.Neuzil,OL,Atlanta,6,50,2024
R.Slater,OL,LA Chargers,3,25,2024
T.McBride,TE,Arizona,6,55,2024
D.Faalele,OL,Baltimore,5,45,2024
C.Benford,DB,Buffalo,5,29,2024
A.Anderson,OL,Buffalo,4,30,2024
E.Pocic,OL,Cleveland,6,39,2024
Ky.Green,OL,Houston,5,30,2024
J.Reid,DB,Kansas City,6,69,2024
A.Taylor,DB,New Orleans,6,67,2024
K.Thibodeaux,LB,N.Y. Giants,5,55,2024
C.Jurgens,OL,Philadelphia,4,25,2024
I.Seumalo,OL,Pittsburgh,5,31,2024
J.Ramsey,DB,Miami,5,74,2024
A.Lazard,WR,N.Y. Jets,5,45,2024
A.Key,LB,Tennessee,6,42,2024
M.McGlinchey,OL,Denver,5,35,2024
B.Powers,OL,Denver,5,35,2024
F.Moreau,TE,New Orleans,6,60,2024
M.Ojomo,DL,Philadelphia,5,35,2024
P.Johnson,OL,Arizona,6,60,2024
R.Moss,DB,Denver,5,88,2024
D.Banks,DB,N.Y. Giants,5,111,2024
T.Steen,OL,Philadelphia,5,50,2024
T.Stevenson,DB,Chicago,4,72,2024
B.Young,LB,LA Rams,5,53,2024
D.Witherspoon,DB,Seattle,6,63,2024
T.Smith,OL,N.Y. Jets,3,20,2024
D.Hunter,DL,Houston,4,30,2024
D.Fowler,LB,Washington,5,60,2024
S.Shepard,WR,Tampa Bay,6,47,2024
J.Smith,TE,Miami,3,25,2024
S.Neal,DB,Miami,6,54,2024
M.Pryor,OL,Chicago,4,25,2024
M.Jackson,DB,Carolina,5,96,2024
R.Hunt,OL,Carolina,5,30,2024
J.Jobe,DB,Seattle,4,76,2024
M.Nabers,WR,N.Y. Giants,5,25,2024
C.Stover,TE,Houston,5,39,2024
C.Hart,DB,LA Chargers,5,57,2024
B.Coleman,OL,Washington,4,25,2024
M.Lattimore,DB,Washington,6,96,2024
K.Clark,DL,Green Bay,4,20,2024
G.Kittle,TE,San Francisco,5,40,2024
D.James,DB,LA Chargers,5,54,2024
B.O'Neill,OL,Minnesota,4,25,2024
D.Ward,DB,Cleveland,3,27,2024
N.Bosa,DL,San Francisco,4,21,2024
T.Howard,OL,Houston,4,36,2024
M.Fitzpatrick,DB,Pittsburgh,4,36,2024
J.Hines-Allen,DL,Jacksonville,5,35,2024
D.Slayton,WR,N.Y. Giants,5,40,2024
J.Wills,OL,Cleveland,3,15,2024
K.Beachum,OL,Arizona,5,28,2024
E.Murray,DB,Houston,3,58,2024
C.McKivitz,OL,San Francisco,5,30,2024
J.Jennings,WR,San Francisco,2,14,2024
P.Sewell,OL,Detroit,5,32,2024
T.Jones,WR,Jacksonville,5,30,2024
H.Henry,TE,New England,4,30,2024
P.Turner,DL,New Orleans,4,38,2024
A.Vera-Tucker,OL,N.Y. Jets,4,30,2024
T.Brown,DB,Seattle,5,38,2024
A.Banks,OL,San Francisco,4,30,2024
Q.Meinerz,OL,Denver,4,30,2024
K.Elam,DB,Buffalo,5,31,2024
X.Woods,DB,Carolina,4,50,2024
J.Tolbert,WR,Dallas,5,40,2024
L.Wattenberg,OL,Denver,3,16,2024
M.Stewart,DB,Houston,5,36,2024
B.Raimann,OL,Indianapolis,2,20,2024
T.Walker,DL,Jacksonville,5,35,2024
T.Hill,WR,Miami,4,35,2024
S.Thomas,DL,N.Y. Jets,4,34,2024
G.Wilson,WR,N.Y. Jets,5,20,2024
Co.Heyward,TE,Pittsburgh,5,30,2024
G.Pickens,WR,Pittsburgh,5,55,2024
B.Hoffman,OL,Dallas,3,30,2024
A.Witherspoon,DB,LA Rams,2,38,2024
A.Wylie,OL,Washington,4,30,2024
D.Moore,WR,Chicago,5,29,2024
D.Edwards,OL,Buffalo,4,35,2024
L.Schoonmaker,TE,Dallas,3,35,2024
D.Washington,TE,Pittsburgh,4,30,2024
Mi.Wilson,WR,Arizona,4,20,2024
D.Thompson-Robinson,QB,Cleveland,5,54,2024
I.Pace,LB,Minnesota,4,52,2024
J.Scruggs,OL,Houston,5,40,2024
C.Kancey,DL,Tampa Bay,5,33,2024
K.Turner,DL,LA Rams,2,10,2024
W.McDonald,LB,N.Y. Jets,4,20,2024
M.Sweat,DL,Chicago,4,20,2024
S.Gilmore,DB,Minnesota,5,57,2024
L.Tomlinson,OL,Seattle,3,18,2024
G.Ifedi,OL,Cleveland,4,30,2024
M.Judon,LB,Atlanta,5,35,2024
P.Brown,TE,Seattle,5,51,2024
C.Lawson,DL,Dallas,2,10,2024
T.White,DB,LA Rams,4,29,2024
F.Fatukasi,DL,Houston,5,35,2024
F.Luvu,LB,Washington,5,12,2024
R.Davis,DL,Indianapolis,3,11,2024
J.Runyan,OL,N.Y. Giants,3,25,2024
D.Swift,RB,Chicago,4,30,2024
M.Becton,OL,Philadelphia,5,30,2024
J.Jeudy,WR,Cleveland,5,24,2024
R.Rosengarten,OL,Baltimore,4,25,2024
D.Richardson,DB,Las Vegas,4,62,2024
A.Barner,TE,Seattle,4,35,2024
K.Amegadjie,OL,Chicago,3,25,2024
M.Jerrell,OL,Seattle,4,30,2024
