team,year,salary_cap_millions,dead_money_millions,dead_cap_pct,win_pct
CLE,2020,199.10,17.82,8.95,0.688
DAL,2020,191.28,26.32,13.76,0.375
NE,2020,185.25,29.73,16.05,0.438
NYJ,2020,182.50,53.59,29.36,0.125
JAX,2020,184.29,49.89,27.07,0.062
PHI,2020,199.84,23.65,11.83,0.281
DEN,2020,195.78,25.39,12.97,0.312
WAS,2020,193.14,31.22,16.17,0.438
MIA,2020,202.76,39.02,19.24,0.625
DET,2020,201.27,29.10,14.46,0.312
CIN,2020,197.64,19.51,9.87,0.281
IND,2020,231.39,17.35,7.50,0.688
CHI,2020,204.76,17.10,8.35,0.500
LAR,2020,196.61,38.47,19.56,0.625
HOU,2020,210.78,23.48,11.14,0.250
BAL,2020,190.99,22.41,11.73,0.688
LAC,2020,195.83,14.32,7.31,0.438
TEN,2020,214.05,31.74,14.83,0.688
PIT,2020,194.67,14.55,7.47,0.750
LV,2020,214.15,11.23,5.24,0.500
NYG,2020,192.62,21.34,11.08,0.375
CAR,2020,204.04,54.07,26.50,0.312
TB,2020,199.84,7.80,3.91,0.688
KC,2020,216.75,18.09,8.35,0.875
GB,2020,199.88,8.74,4.37,0.812
SF,2020,202.66,16.68,8.23,0.375
NO,2020,194.08,22.53,11.61,0.750
BUF,2020,218.23,12.67,5.81,0.812
ATL,2020,199.34,30.11,15.10,0.250
MIN,2020,195.03,36.98,18.96,0.438
ARI,2020,194.16,16.29,8.39,0.500
SEA,2020,200.89,16.45,8.19,0.750
Totals,2020,6403.59,797.65,12.46,0.500
Averages,2020,200.11,24.93,12.46,0.500
