team,year,salary_cap_millions,dead_money_millions,dead_cap_pct,win_pct
OAK,2012,113.92,21.06,18.49,0.250
TEN,2012,115.65,2.71,2.35,0.375
WAS,2012,116.43,8.14,6.99,0.625
MIN,2012,116.84,11.51,9.85,0.625
PHI,2012,117.41,9.41,8.01,0.250
ARI,2012,117.80,10.11,8.58,0.312
CIN,2012,118.19,9.55,8.08,0.625
STL,2012,118.50,13.83,11.67,0.469
NO,2012,118.50,6.01,5.07,0.438
IND,2012,121.50,36.15,29.75,0.688
GB,2012,122.11,4.40,3.61,0.688
MIA,2012,122.86,12.09,9.84,0.438
NYG,2012,124.97,4.85,3.88,0.562
PIT,2012,125.06,10.42,8.33,0.500
CHI,2012,125.65,5.41,4.31,0.625
SD,2012,125.99,9.93,7.88,0.438
HOU,2012,126.01,16.76,13.30,0.750
JAX,2012,126.08,8.93,7.08,0.125
SEA,2012,126.99,22.99,18.10,0.688
CLE,2012,127.13,7.05,5.54,0.312
CAR,2012,127.17,6.14,4.83,0.438
ATL,2012,127.68,8.32,6.51,0.812
NE,2012,129.56,19.33,14.92,0.750
BAL,2012,129.85,11.62,8.95,0.625
BUF,2012,132.48,21.59,16.30,0.375
NYJ,2012,132.82,6.05,4.56,0.375
DET,2012,132.86,0.74,0.55,0.250
DAL,2012,133.05,25.49,19.16,0.500
DEN,2012,133.89,8.48,6.34,0.812
TB,2012,137.72,4.36,3.17,0.438
SF,2012,139.21,2.23,1.60,0.719
KC,2012,143.96,6.07,4.21,0.125
Totals,2012,4027.84,351.72,8.73,0.500
Averages,2012,125.87,10.99,8.73,0.500
