team,year,salary_cap_millions,dead_money_millions,dead_cap_pct,win_pct
JAX,2014,129.18,21.77,16.85,0.188
CLE,2014,135.40,20.54,15.17,0.438
NYJ,2014,118.35,19.25,16.26,0.250
PHI,2014,134.78,10.21,7.58,0.625
TEN,2014,127.60,12.69,9.94,0.125
CIN,2014,131.64,5.14,3.91,0.656
IND,2014,123.73,5.90,4.77,0.688
MIA,2014,142.46,8.37,5.87,0.500
GB,2014,134.04,5.48,4.09,0.750
BAL,2014,124.87,14.87,11.90,0.625
OAK,2014,124.44,17.84,14.33,0.188
SEA,2014,130.44,17.98,13.78,0.750
CAR,2014,133.40,27.09,20.31,0.469
NE,2014,134.32,18.67,13.90,0.750
SF,2014,131.51,10.21,7.76,0.500
DAL,2014,130.23,28.30,21.73,0.750
MIN,2014,130.02,8.77,6.74,0.438
BUF,2014,147.68,27.02,18.29,0.562
ATL,2014,133.01,11.07,8.32,0.375
ARI,2014,133.23,15.71,11.79,0.688
HOU,2014,132.04,20.99,15.90,0.562
PIT,2014,131.95,13.44,10.18,0.688
TB,2014,137.12,13.81,10.08,0.125
KC,2014,132.72,9.41,7.09,0.562
CHI,2014,131.43,18.28,13.91,0.312
NO,2014,131.77,16.33,12.39,0.438
SD,2014,134.24,16.44,12.25,0.562
STL,2014,131.03,8.40,6.41,0.375
DEN,2014,135.89,9.68,7.13,0.750
NYG,2014,131.94,12.64,9.58,0.375
DET,2014,132.39,9.38,7.08,0.688
WAS,2014,132.41,16.63,12.56,0.250
Totals,2014,4225.26,472.29,11.18,0.500
Averages,2014,132.04,14.76,11.18,0.500
