team,year,salary_cap_millions,dead_money_millions,dead_cap_pct,win_pct
IND,2019,196.10,24.50,12.49,0.438
CLE,2019,212.75,32.28,15.17,0.375
PHI,2019,169.78,21.68,12.77,0.562
BUF,2019,174.80,16.94,9.69,0.625
KC,2019,166.51,20.95,12.58,0.750
MIA,2019,175.76,66.92,38.07,0.312
TEN,2019,197.09,13.86,7.03,0.562
OAK,2019,173.15,23.64,13.66,0.438
DAL,2019,182.37,10.33,5.67,0.500
DET,2019,176.63,15.13,8.57,0.219
HOU,2019,198.11,27.38,13.82,0.625
NYJ,2019,188.46,27.63,14.66,0.438
WAS,2019,180.63,13.31,7.37,0.188
DEN,2019,182.23,31.91,17.51,0.438
SEA,2019,184.89,26.35,14.25,0.688
CHI,2019,183.01,10.65,5.82,0.500
CIN,2019,184.95,13.71,7.42,0.125
JAX,2019,190.54,36.69,19.26,0.375
SF,2019,220.65,25.59,11.60,0.812
TB,2019,184.94,10.91,5.90,0.438
CAR,2019,183.31,14.57,7.95,0.312
LAR,2019,180.98,13.60,7.52,0.562
NE,2019,192.50,25.72,13.36,0.750
ATL,2019,184.25,18.70,10.15,0.438
GB,2019,191.76,18.46,9.63,0.812
LAC,2019,184.10,9.02,4.90,0.312
NO,2019,187.89,22.05,11.73,0.812
ARI,2019,192.02,50.90,26.51,0.344
NYG,2019,194.61,55.16,28.34,0.250
MIN,2019,191.02,8.38,4.39,0.625
PIT,2019,206.40,34.44,16.69,0.500
BAL,2019,190.03,30.29,15.94,0.875
Totals,2019,6002.21,771.64,12.86,0.500
Averages,2019,187.57,24.11,12.86,0.500
