team,year,salary_cap_millions,dead_money_millions,dead_cap_pct,win_pct
SF,2023,199.53,33.31,16.70,0.706
CLE,2023,221.90,23.47,10.58,0.647
WAS,2023,219.16,47.62,21.73,0.235
LV,2023,223.47,57.85,25.89,0.471
ARI,2023,218.13,69.78,31.99,0.235
DAL,2023,222.10,20.45,9.21,0.706
CIN,2023,215.84,4.45,2.06,0.529
TEN,2023,221.49,58.84,26.57,0.353
MIN,2023,212.74,46.18,21.71,0.412
JAX,2023,217.78,10.67,4.90,0.529
GB,2023,218.05,67.23,30.84,0.529
IND,2023,223.87,51.42,22.97,0.529
LAC,2023,218.51,27.39,12.53,0.294
HOU,2023,223.56,47.42,21.21,0.588
ATL,2023,222.64,25.65,11.52,0.412
LAR,2023,217.17,79.38,36.55,0.588
SEA,2023,214.98,23.40,10.88,0.529
NYG,2023,223.44,56.45,25.26,0.353
NYJ,2023,222.55,29.03,13.05,0.412
CAR,2023,232.77,62.17,26.71,0.118
CHI,2023,227.51,36.74,16.15,0.412
DET,2023,223.41,32.09,14.36,0.706
TB,2023,223.68,81.57,36.47,0.529
NO,2023,220.53,35.18,15.95,0.529
PIT,2023,226.30,21.16,9.35,0.588
KC,2023,217.62,12.30,5.65,0.647
PHI,2023,232.19,63.87,27.51,0.647
MIA,2023,223.98,20.35,9.09,0.647
DEN,2023,231.77,33.30,14.37,0.471
NE,2023,221.85,31.24,14.08,0.235
BAL,2023,223.61,16.05,7.18,0.765
BUF,2023,228.64,10.17,4.45,0.647
Totals,2023,7090.78,1236.18,17.43,0.500
Averages,2023,221.59,38.63,17.43,0.500
