team,year,salary_cap_millions,dead_money_millions,dead_cap_pct,win_pct
SF,2024,247.00,30.44,12.32,0.353
CLE,2024,248.72,42.50,17.09,0.176
NE,2024,229.60,60.99,26.56,0.235
LV,2024,226.10,50.31,22.25,0.235
WAS,2024,240.63,47.23,19.63,0.706
DET,2024,234.43,39.26,16.75,0.882
DAL,2024,240.41,29.66,12.34,0.412
MIA,2024,238.32,58.06,24.36,0.471
JAX,2024,252.09,53.64,21.28,0.235
GB,2024,251.59,64.57,25.67,0.647
TEN,2024,244.82,66.99,27.36,0.176
ARI,2024,257.56,32.17,12.49,0.471
PIT,2024,245.73,30.73,12.51,0.588
IND,2024,250.32,15.61,6.24,0.471
MIN,2024,252.56,70.38,27.87,0.824
PHI,2024,250.87,63.63,25.37,0.824
TB,2024,244.48,62.50,25.56,0.588
SEA,2024,253.36,58.38,23.04,0.588
ATL,2024,253.56,15.19,5.99,0.471
DEN,2024,252.14,89.08,35.33,0.588
CIN,2024,259.32,13.02,5.02,0.529
HOU,2024,253.61,41.63,16.42,0.588
CHI,2024,254.72,30.38,11.93,0.294
LAC,2024,259.84,60.90,23.44,0.647
LAR,2024,254.60,35.85,14.08,0.588
NO,2024,255.45,62.19,24.34,0.294
NYJ,2024,258.56,62.32,24.10,0.294
KC,2024,250.04,17.03,6.81,0.882
BAL,2024,251.87,23.11,9.18,0.706
NYG,2024,258.88,82.52,31.88,0.176
BUF,2024,256.07,75.05,29.31,0.765
CAR,2024,261.53,73.24,28.01,0.294
Totals,2024,7988.77,1558.57,19.51,0.500
Averages,2024,249.65,48.71,19.51,0.500
