team,year,salary_cap_millions,dead_money_millions,dead_cap_pct,win_pct
JAX,2021,180.47,23.63,13.09,0.176
PHI,2021,189.18,63.77,33.71,0.529
DEN,2021,188.34,37.14,19.72,0.412
PIT,2021,175.91,30.38,17.27,0.559
SEA,2021,172.70,13.92,8.06,0.412
HOU,2021,184.49,48.01,26.02,0.235
CLE,2021,202.64,29.00,14.31,0.471
LAC,2021,183.05,6.20,3.39,0.529
WAS,2021,193.57,22.26,11.50,0.412
TEN,2021,184.42,30.83,16.72,0.706
NE,2021,200.57,33.59,16.75,0.588
NYJ,2021,205.74,35.85,17.43,0.235
GB,2021,181.32,10.74,5.92,0.765
CAR,2021,181.77,53.97,29.69,0.294
DAL,2021,205.33,27.05,13.17,0.706
CIN,2021,191.29,18.93,9.90,0.588
IND,2021,187.32,6.74,3.60,0.529
KC,2021,185.11,17.79,9.61,0.706
NYG,2021,182.52,19.02,10.42,0.235
LAR,2021,184.24,49.44,26.83,0.706
MIA,2021,195.16,24.43,12.52,0.529
CHI,2021,188.75,26.30,13.93,0.353
DET,2021,196.59,67.10,34.13,0.206
TB,2021,181.12,11.19,6.18,0.765
ARI,2021,191.13,15.71,8.22,0.647
SF,2021,195.10,23.50,12.05,0.588
LV,2021,189.93,36.52,19.23,0.588
BAL,2021,182.78,19.69,10.77,0.471
NO,2021,185.31,49.11,26.50,0.529
ATL,2021,185.50,30.32,16.35,0.412
BUF,2021,189.34,9.89,5.22,0.647
MIN,2021,188.62,25.57,13.56,0.471
Totals,2021,6029.31,917.59,15.22,0.500
Averages,2021,188.42,28.67,15.22,0.500
