team,year,salary_cap_millions,dead_money_millions,dead_cap_pct,win_pct
JAX,2015,136.13,9.58,7.04,0.312
TEN,2015,128.66,17.87,13.89,0.188
CLE,2015,139.65,7.05,5.05,0.188
NYG,2015,128.32,15.60,12.16,0.375
OAK,2015,137.07,16.69,12.18,0.438
SF,2015,136.74,29.09,21.28,0.312
TB,2015,133.57,25.31,18.95,0.375
DAL,2015,137.82,19.22,13.95,0.250
ATL,2015,136.24,22.47,16.49,0.500
GB,2015,141.86,5.44,3.83,0.625
PHI,2015,150.33,19.40,12.90,0.438
IND,2015,143.40,14.26,9.95,0.500
CIN,2015,143.91,4.85,3.37,0.750
MIA,2015,144.88,30.56,21.09,0.375
BUF,2015,138.34,13.64,9.86,0.500
WAS,2015,139.79,13.09,9.36,0.562
PIT,2015,138.86,20.14,14.51,0.625
DEN,2015,145.10,6.15,4.24,0.750
KC,2015,141.44,21.54,15.23,0.688
CAR,2015,145.23,15.37,10.59,0.938
STL,2015,140.69,11.48,8.16,0.438
BAL,2015,141.22,24.01,17.00,0.312
ARI,2015,144.71,12.81,8.85,0.812
CHI,2015,141.51,29.02,20.51,0.375
HOU,2015,142.40,17.42,12.24,0.562
NE,2015,141.32,19.48,13.79,0.750
NYJ,2015,153.01,8.26,5.40,0.625
MIN,2015,147.02,9.15,6.22,0.688
SD,2015,140.81,17.00,12.07,0.250
NO,2015,143.21,34.85,24.34,0.438
DET,2015,143.22,21.24,14.83,0.438
SEA,2015,147.36,19.64,13.32,0.625
Totals,2015,4513.82,551.67,12.22,0.500
Averages,2015,141.06,17.24,12.22,0.500
