team,year,salary_cap_millions,dead_money_millions,dead_cap_pct,win_pct
CLE,2016,130.22,35.20,27.03,0.500
SF,2016,134.00,12.13,9.05,0.500
JAX,2016,150.46,5.11,3.40,0.500
TEN,2016,150.46,18.51,12.30,0.500
CAR,2016,139.23,13.19,9.47,0.500
WAS,2016,146.12,16.72,11.45,0.500
MIA,2016,151.39,17.52,11.57,0.500
NYG,2016,154.90,15.25,9.85,0.500
NE,2016,147.67,17.53,11.87,0.500
PHI,2016,151.96,24.18,15.91,0.500
NO,2016,146.29,42.12,28.80,0.500
GB,2016,154.21,4.66,3.02,0.500
CHI,2016,148.32,12.80,8.63,0.500
IND,2016,152.48,17.19,11.27,0.500
DET,2016,149.72,24.65,16.47,0.500
DEN,2016,147.21,15.14,10.28,0.500
DAL,2016,152.74,3.24,2.12,0.500
CIN,2016,156.40,3.97,2.54,0.500
PIT,2016,151.42,11.75,7.76,0.500
LAR,2016,149.66,21.37,14.28,0.500
KC,2016,152.51,14.19,9.30,0.500
TB,2016,155.73,6.31,4.05,0.500
HOU,2016,152.06,8.65,5.69,0.500
BUF,2016,152.34,18.77,12.32,0.500
ATL,2016,153.82,26.03,16.92,0.500
SEA,2016,150.30,14.16,9.42,0.500
BAL,2016,150.96,15.34,10.16,0.500
OAK,2016,164.34,9.20,5.60,0.500
ARI,2016,155.86,13.72,8.80,0.500
SD,2016,155.47,13.37,8.60,0.500
MIN,2016,157.20,7.54,4.80,0.500
NYJ,2016,158.08,16.87,10.67,0.500
Totals,2016,4823.53,496.38,10.29,0.500
Averages,2016,150.74,15.51,10.29,0.500
